pl_name,hostname,is_control,radius_earth,radius_error_plus,radius_error_minus,catalogue_mass_value_earth,catalogue_mass_class,catalogue_mass_accepted_as_independent,mass_use_reason,hz_conservative_probability,earth2_rank,label,independent_mass_used,covariance_status,mass_radius_correlation,p_rocky_rogers_radius_only,wolfgang_mass_location_earth,wolfgang_intrinsic_scatter_earth,wolfgang_prediction_is_dynamical_mass,zeng_supported_draw_fraction,p_rocky_zeng_fe_si_envelope,p_requires_volatiles_zeng,p_consistent_with_terrestrial_composition_zeng,p_too_dense_for_zeng_cmf_0_to_0p4,otegi_supported_draw_fraction,p_rocky_otegi_equal_prior,p_rocky_otegi_scatter_0p10dex,p_rocky_otegi_scatter_0p30dex,p_rocky_model_min,p_rocky_model_max,p_rocky_model_range,n_rocky_models_supported,composition_evidence_scope
Kepler-334 b,Kepler-334,False,1.12,0.21,-0.21,1.46,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3323,MODEL-INFERRED,False,unavailable_assumed_zero,,0.8842708428,3.128579488,1.9,False,0,,,,,0,,,,0.8842708428,0.8842708428,,1,radius_only_baseline
Kepler-743 b,Kepler-743,False,1.21,0.03,-0.05,1.92,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3325,MODEL-INFERRED,False,unavailable_assumed_zero,,0.8783132746,3.45927227,1.9,False,0,,,,,0,,,,0.8783132746,0.8783132746,,1,radius_only_baseline
Kepler-783 c,Kepler-783,False,2.33153725,,,6.04,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3326,MODEL-INFERRED,False,unavailable_assumed_zero,,0.02514361317,8.115192573,1.9,False,0,,,,,0,,,,0.02514361317,0.02514361317,,1,radius_only_baseline
Kepler-192 b,Kepler-192,False,2.74,0.45,-0.45,7.95,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3327,MODEL-INFERRED,False,unavailable_assumed_zero,,0.02566351307,10.01012489,1.9,False,0,,,,,0,,,,0.02566351307,0.02566351307,,1,radius_only_baseline
Kepler-251 b,Kepler-251,False,1.33,0.24,-0.24,2.33,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3328,MODEL-INFERRED,False,unavailable_assumed_zero,,0.7379225345,3.911748254,1.9,False,0,,,,,0,,,,0.7379225345,0.7379225345,,1,radius_only_baseline
Kepler-1283 b,Kepler-1283,False,1.91,0.79,-0.31,4.31,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3330,MODEL-INFERRED,False,unavailable_assumed_zero,,0.2318754715,6.261914617,1.9,False,0,,,,,0,,,,0.2318754715,0.2318754715,,1,radius_only_baseline
Kepler-1005 b,Kepler-1005,False,1.5,0.21,-0.15,2.86,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3332,MODEL-INFERRED,False,unavailable_assumed_zero,,0.5847430914,4.573855089,1.9,False,0,,,,,0,,,,0.5847430914,0.5847430914,,1,radius_only_baseline
Kepler-1321 c,Kepler-1321,False,2.4,0.3,-0.18,6.35,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3334,MODEL-INFERRED,False,unavailable_assumed_zero,,0.02423193179,8.426328351,1.9,False,0,,,,,0,,,,0.02423193179,0.02423193179,,1,radius_only_baseline
HD 93385 c,HD 93385,False,2.56,,,7.1,msini_lower_limit,False,mass excluded: only true measured masses support composition inference,0,3335,MODEL-INFERRED,False,unavailable_assumed_zero,,0.008162571153,9.163802467,1.9,False,0,,,,,0,,,,0.008162571153,0.008162571153,,1,radius_only_baseline
TOI-2458 c,TOI-2458,False,3.18,,,10.22,msini_lower_limit,False,mass excluded: only true measured masses support composition inference,0,3336,MODEL-INFERRED,False,unavailable_assumed_zero,,0.0003706061406,12.14839824,1.9,False,0,,,,,0,,,,0.0003706061406,0.0003706061406,,1,radius_only_baseline
Kepler-1779 b,Kepler-1779,False,3.03295685,,,9.44,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3337,MODEL-INFERRED,False,unavailable_assumed_zero,,0.0007727482072,11.42325483,1.9,False,0,,,,,0,,,,0.0007727482072,0.0007727482072,,1,radius_only_baseline
Kepler-308 b,Kepler-308,False,2.12,1.02,-1.02,5.14,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3338,MODEL-INFERRED,False,unavailable_assumed_zero,,0.3070665857,7.171341157,1.9,False,0,,,,,0,,,,0.3070665857,0.3070665857,,1,radius_only_baseline
Kepler-179 c,Kepler-179,False,2,0.81,-0.81,4.66,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3339,MODEL-INFERRED,False,unavailable_assumed_zero,,0.3194673276,6.648179832,1.9,False,0,,,,,0,,,,0.3194673276,0.3194673276,,1,radius_only_baseline
Kepler-342 b,Kepler-342,False,2.25,0.4,-0.4,5.69,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3340,MODEL-INFERRED,False,unavailable_assumed_zero,,0.1158332592,7.748203841,1.9,False,0,,,,,0,,,,0.1158332592,0.1158332592,,1,radius_only_baseline
Kepler-1800 b,Kepler-1800,False,0.99679734,,,0.961,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3341,MODEL-INFERRED,False,unavailable_assumed_zero,,0.9532923339,2.688764068,1.9,False,0,,,,,0,,,,0.9532923339,0.9532923339,,1,radius_only_baseline
Kepler-1623 b,Kepler-1623,False,1.31,0.31,-0.18,2.27,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3342,MODEL-INFERRED,False,unavailable_assumed_zero,,0.7239357671,3.835451086,1.9,False,0,,,,,0,,,,0.7239357671,0.7239357671,,1,radius_only_baseline
Kepler-1123 b,Kepler-1123,False,1.67,0.25,-0.11,3.43,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3343,MODEL-INFERRED,False,unavailable_assumed_zero,,0.3778103787,5.258903197,1.9,False,0,,,,,0,,,,0.3778103787,0.3778103787,,1,radius_only_baseline
Kepler-1311 b,Kepler-1311,False,1.24,0.25,-0.26,2.07,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3346,MODEL-INFERRED,False,unavailable_assumed_zero,,0.8052263013,3.571181761,1.9,False,0,,,,,0,,,,0.8052263013,0.8052263013,,1,radius_only_baseline
Kepler-295 d,Kepler-295,False,1.36,0.72,-0.72,2.42,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3347,MODEL-INFERRED,False,unavailable_assumed_zero,,0.6075628494,4.026839732,1.9,False,0,,,,,0,,,,0.6075628494,0.6075628494,,1,radius_only_baseline
Kepler-1987 b,Kepler-1987,False,1.23,0.11,-0.09,2.04,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3348,MODEL-INFERRED,False,unavailable_assumed_zero,,0.8493766716,3.533787328,1.9,False,0,,,,,0,,,,0.8493766716,0.8493766716,,1,radius_only_baseline
TIC 231949697 b,TIC 231949697,False,1.52831855,0.34944237,-0.18252922,2.95,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3352,MODEL-INFERRED,False,unavailable_assumed_zero,,0.5212669951,4.686426541,1.9,False,0,,,,,0,,,,0.5212669951,0.5212669951,,1,radius_only_baseline
Kepler-1530 d,Kepler-1530,False,3.27870115,,,10.8,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3353,MODEL-INFERRED,False,unavailable_assumed_zero,,0.0002262812062,12.64084619,1.9,False,0,,,,,0,,,,0.0002262812062,0.0002262812062,,1,radius_only_baseline
TOI-4363 b,TOI-4363,False,1.76689273,0.24906585,-0.23329954,3.77,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3355,MODEL-INFERRED,False,unavailable_assumed_zero,,0.3373957392,5.658964938,1.9,False,0,,,,,0,,,,0.3373957392,0.3373957392,,1,radius_only_baseline
TOI-1782.02,TOI-1782,False,1.839,0.234,-0.185,4.04,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3357,MODEL-INFERRED,False,unavailable_assumed_zero,,0.2575228582,5.961012221,1.9,False,0,,,,,0,,,,0.2575228582,0.2575228582,,1,radius_only_baseline
Kepler-1585 b,Kepler-1585,False,1.79,0.25,-0.16,3.86,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3359,MODEL-INFERRED,False,unavailable_assumed_zero,,0.280660122,5.755362787,1.9,False,0,,,,,0,,,,0.280660122,0.280660122,,1,radius_only_baseline
