pl_name,spec_type,authors,reference_url,num_datapoints,instrument,facility,minwavelng,maxwavelng,mintranmid,maxtranmid,note,bibcode,spec_path
WASP-79 b,Eclipse,Changeat et al. 2022,,18,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6237,,,Figure 2,2022ApJS..260....3C,96/29/42/34/WASP_79_b_3.11520_5219_148.tbl
WASP-77 A b,Eclipse,Changeat et al. 2022,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,2022ApJS..260....3C,71/13/41/99/WASP_77_b_3.11569_5219_147.tbl
WASP-79 b,Eclipse,Changeat et al. 2022,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,2022ApJS..260....3C,76/35/83/47/WASP_79_b_3.11520_5219_149.tbl
CoRoT-1 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,70/45/91/25/CoRoT_1_b_3.10951_5286_40.tbl
GJ 1214 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,54/40/61/54/GJ_1214_b_3.10969_5286_41.tbl
GJ 3470 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,52/05/93/12/GJ_3470_b_3.11524_5286_42.tbl
HAT-P-2 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,52/15/51/03/HAT_P_2_b_3.11014_5286_43.tbl
HAT-P-7 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,17/05/07/90/HAT_P_7_b_3.8_5286_44.tbl
HD 219666 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,12/97/27/47/HD_219666_b_3.12304_5286_45.tbl
HD 97658 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,09/54/73/45/HD_97658_b_3.11371_5286_46.tbl
HIP 41378 f,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,05/93/18/95/HIP_41378_f_3.11912_5286_48.tbl
HIP 41378 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,88/09/12/84/HIP_41378_b_3.11908_5286_47.tbl
K2-24 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,37/31/62/35/K2_24_b_3.8918_5286_49.tbl
KELT-1 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,01/95/59/83/KELT_1_b_3.11521_5286_50.tbl
Kepler-51 d,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,26/66/16/59/Kepler_51_d_3.2966_5286_51.tbl
Kepler-9 c,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,24/65/78/81/Kepler_9_c_3.964_5286_53.tbl
