label,mist_version,rotation_v_over_vcrit,feh,log10_age_years,initial_mass_solar,log10_luminosity_solar,log10_teff_kelvin
MODEL-INFERRED,1.2,0.4,-4,8.15,1.5,1.02310089,4.026202961
MODEL-INFERRED,1.2,0.4,-4,8.2,0.5,-1.082990378,3.68602158
MODEL-INFERRED,1.2,0.4,-4,8.2,0.525,-1.002789377,3.69546453
MODEL-INFERRED,1.2,0.4,-4,8.2,0.55,-0.9225558713,3.70511657
MODEL-INFERRED,1.2,0.4,-4,8.2,0.575,-0.8426836357,3.715077875
MODEL-INFERRED,1.2,0.4,-4,8.2,0.6,-0.764084716,3.724984577
MODEL-INFERRED,1.2,0.4,-4,8.2,0.625,-0.698051703,3.733959054
MODEL-INFERRED,1.2,0.4,-4,8.2,0.65,-0.6332433609,3.742854697
MODEL-INFERRED,1.2,0.4,-4,8.2,0.675,-0.5683912452,3.751753439
MODEL-INFERRED,1.2,0.4,-4,8.2,0.7,-0.5035400787,3.760644364
MODEL-INFERRED,1.2,0.4,-4,8.2,0.725,-0.4386644779,3.769533283
MODEL-INFERRED,1.2,0.4,-4,8.2,0.75,-0.3737709562,3.778418866
MODEL-INFERRED,1.2,0.4,-4,8.2,0.775,-0.308849906,3.787305897
MODEL-INFERRED,1.2,0.4,-4,8.2,0.8,-0.2438953245,3.796195014
MODEL-INFERRED,1.2,0.4,-4,8.2,0.825,-0.178919067,3.805089208
MODEL-INFERRED,1.2,0.4,-4,8.2,0.85,-0.1139141146,3.813985083
MODEL-INFERRED,1.2,0.4,-4,8.2,0.875,-0.04886408943,3.822884973
MODEL-INFERRED,1.2,0.4,-4,8.2,0.9,0.01621603381,3.831784214
MODEL-INFERRED,1.2,0.4,-4,8.2,0.925,0.0813116412,3.840680701
MODEL-INFERRED,1.2,0.4,-4,8.2,0.95,0.1464544235,3.849579719
MODEL-INFERRED,1.2,0.4,-4,8.2,0.975,0.2113059547,3.858452274
MODEL-INFERRED,1.2,0.4,-4,8.2,1,0.2643991976,3.866405219
MODEL-INFERRED,1.2,0.4,-4,8.2,1.025,0.3129035539,3.874326603
MODEL-INFERRED,1.2,0.4,-4,8.2,1.05,0.3599196274,3.882546405
MODEL-INFERRED,1.2,0.4,-4,8.2,1.075,0.4057085667,3.891199995
MODEL-INFERRED,1.2,0.4,-4,8.2,1.1,0.449846495,3.900523117
MODEL-INFERRED,1.2,0.4,-4,8.2,1.125,0.4934392879,3.909999994
MODEL-INFERRED,1.2,0.4,-4,8.2,1.15,0.5354976217,3.919430648
MODEL-INFERRED,1.2,0.4,-4,8.2,1.175,0.576624011,3.928674551
MODEL-INFERRED,1.2,0.4,-4,8.2,1.2,0.6163799351,3.937777502
MODEL-INFERRED,1.2,0.4,-4,8.2,1.225,0.6554900673,3.946722969
MODEL-INFERRED,1.2,0.4,-4,8.2,1.25,0.6936410806,3.95542147
MODEL-INFERRED,1.2,0.4,-4,8.2,1.275,0.7307042936,3.963788366
MODEL-INFERRED,1.2,0.4,-4,8.2,1.3,0.7672133179,3.972005756
MODEL-INFERRED,1.2,0.4,-4,8.2,1.325,0.8022475037,3.979758677
MODEL-INFERRED,1.2,0.4,-4,8.2,1.35,0.8363781123,3.987199495
MODEL-INFERRED,1.2,0.4,-4,8.2,1.375,0.8704211392,3.994596616
MODEL-INFERRED,1.2,0.4,-4,8.2,1.4,0.9032580179,4.001584393
MODEL-INFERRED,1.2,0.4,-4,8.2,1.425,0.9352147976,4.008265181
MODEL-INFERRED,1.2,0.4,-4,8.2,1.45,0.9661994371,4.01460163
MODEL-INFERRED,1.2,0.4,-4,8.2,1.475,0.9963114001,4.0206214
MODEL-INFERRED,1.2,0.4,-4,8.2,1.5,1.026230307,4.026554709
MODEL-INFERRED,1.2,0.4,-4,8.25,0.5,-1.082136581,3.685951715
MODEL-INFERRED,1.2,0.4,-4,8.25,0.525,-1.002179164,3.695413116
MODEL-INFERRED,1.2,0.4,-4,8.25,0.55,-0.9221003766,3.705088391
MODEL-INFERRED,1.2,0.4,-4,8.25,0.575,-0.8422008727,3.715075112
MODEL-INFERRED,1.2,0.4,-4,8.25,0.6,-0.7637444593,3.724969969
MODEL-INFERRED,1.2,0.4,-4,8.25,0.625,-0.6974413411,3.733981019
MODEL-INFERRED,1.2,0.4,-4,8.25,0.65,-0.6325910059,3.742878139
MODEL-INFERRED,1.2,0.4,-4,8.25,0.675,-0.567731179,3.751769787
MODEL-INFERRED,1.2,0.4,-4,8.25,0.7,-0.5028515702,3.760657617
MODEL-INFERRED,1.2,0.4,-4,8.25,0.725,-0.4379462158,3.76954416
MODEL-INFERRED,1.2,0.4,-4,8.25,0.75,-0.3730129866,3.778432321
MODEL-INFERRED,1.2,0.4,-4,8.25,0.775,-0.3080459165,3.787323118
MODEL-INFERRED,1.2,0.4,-4,8.25,0.8,-0.2430637737,3.796219802
MODEL-INFERRED,1.2,0.4,-4,8.25,0.825,-0.1780457209,3.80511809
MODEL-INFERRED,1.2,0.4,-4,8.25,0.85,-0.1129727631,3.814020764
MODEL-INFERRED,1.2,0.4,-4,8.25,0.875,-0.04788761218,3.822921078
MODEL-INFERRED,1.2,0.4,-4,8.25,0.9,0.0172266521,3.831818878
MODEL-INFERRED,1.2,0.4,-4,8.25,0.925,0.08238821099,3.840722343
MODEL-INFERRED,1.2,0.4,-4,8.25,0.95,0.1476105531,3.849626372
MODEL-INFERRED,1.2,0.4,-4,8.25,0.975,0.2128717722,3.858531588
MODEL-INFERRED,1.2,0.4,-4,8.25,1,0.2657704474,3.86646462
MODEL-INFERRED,1.2,0.4,-4,8.25,1.025,0.314243248,3.874429209
MODEL-INFERRED,1.2,0.4,-4,8.25,1.05,0.3614089639,3.882638309
MODEL-INFERRED,1.2,0.4,-4,8.25,1.075,0.4072510571,3.891322537
MODEL-INFERRED,1.2,0.4,-4,8.25,1.1,0.4514981148,3.90070128
MODEL-INFERRED,1.2,0.4,-4,8.25,1.125,0.4951174834,3.910195349
MODEL-INFERRED,1.2,0.4,-4,8.25,1.15,0.5373183677,3.919686489
MODEL-INFERRED,1.2,0.4,-4,8.25,1.175,0.5785011064,3.928993208
MODEL-INFERRED,1.2,0.4,-4,8.25,1.2,0.6184159344,3.938013029
MODEL-INFERRED,1.2,0.4,-4,8.25,1.225,0.6577397688,3.946973548
MODEL-INFERRED,1.2,0.4,-4,8.25,1.25,0.6958986237,3.95568192
MODEL-INFERRED,1.2,0.4,-4,8.25,1.275,0.7330934226,3.964078355
MODEL-INFERRED,1.2,0.4,-4,8.25,1.3,0.76956647,3.972272484
MODEL-INFERRED,1.2,0.4,-4,8.25,1.325,0.8049817975,3.980124202
MODEL-INFERRED,1.2,0.4,-4,8.25,1.35,0.8392109288,3.987563782
MODEL-INFERRED,1.2,0.4,-4,8.25,1.375,0.8734755736,3.995004573
MODEL-INFERRED,1.2,0.4,-4,8.25,1.4,0.9063368899,4.001972289
MODEL-INFERRED,1.2,0.4,-4,8.25,1.425,0.9383224139,4.008628079
MODEL-INFERRED,1.2,0.4,-4,8.25,1.45,0.9695922294,4.015029297
MODEL-INFERRED,1.2,0.4,-4,8.25,1.475,0.9997898489,4.0210381
MODEL-INFERRED,1.2,0.4,-4,8.25,1.5,1.029960755,4.02701988
MODEL-INFERRED,1.2,0.4,-4,8.3,0.5,-1.081401928,3.685893039
MODEL-INFERRED,1.2,0.4,-4,8.3,0.525,-1.001632859,3.695376527
MODEL-INFERRED,1.2,0.4,-4,8.3,0.55,-0.9216345608,3.705080392
MODEL-INFERRED,1.2,0.4,-4,8.3,0.575,-0.8417153579,3.715074461
MODEL-INFERRED,1.2,0.4,-4,8.3,0.6,-0.7630411576,3.725003438
MODEL-INFERRED,1.2,0.4,-4,8.3,0.625,-0.6967894063,3.734003454
MODEL-INFERRED,1.2,0.4,-4,8.3,0.65,-0.6319182231,3.742895574
MODEL-INFERRED,1.2,0.4,-4,8.3,0.675,-0.5670341057,3.751782492
MODEL-INFERRED,1.2,0.4,-4,8.3,0.7,-0.5021171091,3.760670106
MODEL-INFERRED,1.2,0.4,-4,8.3,0.725,-0.4371714753,3.769559631
MODEL-INFERRED,1.2,0.4,-4,8.3,0.75,-0.3722012324,3.778453334
MODEL-INFERRED,1.2,0.4,-4,8.3,0.775,-0.3072057884,3.787351088
MODEL-INFERRED,1.2,0.4,-4,8.3,0.8,-0.2421668199,3.796253165
MODEL-INFERRED,1.2,0.4,-4,8.3,0.825,-0.1770756156,3.80515815
MODEL-INFERRED,1.2,0.4,-4,8.3,0.85,-0.1119865753,3.81405869
MODEL-INFERRED,1.2,0.4,-4,8.3,0.875,-0.04685517669,3.822958677
MODEL-INFERRED,1.2,0.4,-4,8.3,0.9,0.01833333244,3.831867321
MODEL-INFERRED,1.2,0.4,-4,8.3,0.925,0.08357656127,3.840775565
MODEL-INFERRED,1.2,0.4,-4,8.3,0.95,0.1488619794,3.849684198
MODEL-INFERRED,1.2,0.4,-4,8.3,0.975,0.2142224555,3.858593241
MODEL-INFERRED,1.2,0.4,-4,8.3,1,0.2671896549,3.866558268
MODEL-INFERRED,1.2,0.4,-4,8.3,1.025,0.3158594923,3.874529751
MODEL-INFERRED,1.2,0.4,-4,8.3,1.05,0.3629788981,3.882745739
MODEL-INFERRED,1.2,0.4,-4,8.3,1.075,0.4089331899,3.891486848
MODEL-INFERRED,1.2,0.4,-4,8.3,1.1,0.4533241065,3.900886608
MODEL-INFERRED,1.2,0.4,-4,8.3,1.125,0.4970749884,3.910412264
MODEL-INFERRED,1.2,0.4,-4,8.3,1.15,0.5392723577,3.919943308
MODEL-INFERRED,1.2,0.4,-4,8.3,1.175,0.5807159094,3.929140645
MODEL-INFERRED,1.2,0.4,-4,8.3,1.2,0.6206934306,3.938207423
MODEL-INFERRED,1.2,0.4,-4,8.3,1.225,0.6599688219,3.947199362
MODEL-INFERRED,1.2,0.4,-4,8.3,1.25,0.698387682,3.955962424
MODEL-INFERRED,1.2,0.4,-4,8.3,1.275,0.7357700183,3.964403316
MODEL-INFERRED,1.2,0.4,-4,8.3,1.3,0.7724646546,3.972650754
MODEL-INFERRED,1.2,0.4,-4,8.3,1.325,0.8079515929,3.980490709
MODEL-INFERRED,1.2,0.4,-4,8.3,1.35,0.8423873253,3.987970502
MODEL-INFERRED,1.2,0.4,-4,8.3,1.375,0.8766692052,3.995387977
MODEL-INFERRED,1.2,0.4,-4,8.3,1.4,0.9097858293,4.002404064
MODEL-INFERRED,1.2,0.4,-4,8.3,1.425,0.9421518382,4.00914937
MODEL-INFERRED,1.2,0.4,-4,8.3,1.45,0.9732552486,4.015449706
MODEL-INFERRED,1.2,0.4,-4,8.3,1.475,1.003744088,4.021508687
MODEL-INFERRED,1.2,0.4,-4,8.3,1.5,1.034045483,4.027480186
MODEL-INFERRED,1.2,0.4,-4,8.35,0.5,-1.080752508,3.685850031
MODEL-INFERRED,1.2,0.4,-4,8.35,0.525,-1.001116654,3.695355512
MODEL-INFERRED,1.2,0.4,-4,8.35,0.55,-0.9211533417,3.705085854
MODEL-INFERRED,1.2,0.4,-4,8.35,0.575,-0.8411565465,3.715089794
MODEL-INFERRED,1.2,0.4,-4,8.35,0.6,-0.7624003818,3.725023467
MODEL-INFERRED,1.2,0.4,-4,8.35,0.625,-0.6961080585,3.734020542
MODEL-INFERRED,1.2,0.4,-4,8.35,0.65,-0.6312119174,3.742907954
MODEL-INFERRED,1.2,0.4,-4,8.35,0.675,-0.5662856271,3.751796859
MODEL-INFERRED,1.2,0.4,-4,8.35,0.7,-0.5013237643,3.760687502
MODEL-INFERRED,1.2,0.4,-4,8.35,0.725,-0.4363515163,3.769584308
MODEL-INFERRED,1.2,0.4,-4,8.35,0.75,-0.3713452061,3.778483273
MODEL-INFERRED,1.2,0.4,-4,8.35,0.775,-0.3062777319,3.787390062
MODEL-INFERRED,1.2,0.4,-4,8.35,0.8,-0.2411766221,3.796296412
MODEL-INFERRED,1.2,0.4,-4,8.35,0.825,-0.176078374,3.805197287
MODEL-INFERRED,1.2,0.4,-4,8.35,0.85,-0.110926133,3.814101951
MODEL-INFERRED,1.2,0.4,-4,8.35,0.875,-0.04570990837,3.823014634
MODEL-INFERRED,1.2,0.4,-4,8.35,0.9,0.01955038506,3.831927019
MODEL-INFERRED,1.2,0.4,-4,8.35,0.925,0.08486141269,3.840839082
MODEL-INFERRED,1.2,0.4,-4,8.35,0.95,0.1502438973,3.849753027
MODEL-INFERRED,1.2,0.4,-4,8.35,0.975,0.2154372809,3.858646877
MODEL-INFERRED,1.2,0.4,-4,8.35,1,0.2687404726,3.866653902
MODEL-INFERRED,1.2,0.4,-4,8.35,1.025,0.317450245,3.874655231
MODEL-INFERRED,1.2,0.4,-4,8.35,1.05,0.364725138,3.882875657
MODEL-INFERRED,1.2,0.4,-4,8.35,1.075,0.4108172103,3.89162018
MODEL-INFERRED,1.2,0.4,-4,8.35,1.1,0.4553327566,3.901039036
MODEL-INFERRED,1.2,0.4,-4,8.35,1.125,0.4991333757,3.910619517
MODEL-INFERRED,1.2,0.4,-4,8.35,1.15,0.5415755526,3.920090548
MODEL-INFERRED,1.2,0.4,-4,8.35,1.175,0.5830503834,3.92938849
MODEL-INFERRED,1.2,0.4,-4,8.35,1.2,0.6231857433,3.938534372
MODEL-INFERRED,1.2,0.4,-4,8.35,1.225,0.662687067,3.947510568
MODEL-INFERRED,1.2,0.4,-4,8.35,1.25,0.70134529,3.956320348
MODEL-INFERRED,1.2,0.4,-4,8.35,1.275,0.7387754755,3.964767868
MODEL-INFERRED,1.2,0.4,-4,8.35,1.3,0.7755917983,3.973031628
