pl_name,hostname,is_control,st_age_gyr,st_mass_solar,st_feh,st_log_luminosity_solar,pl_orbsmax_au,label,status,reason,draws_requested,draws_supported,supported_fraction,age_precision_status,model_agreement,boundary_sensitivity,classification_robustness,kopparapu_conservative__p_current_hz,kopparapu_conservative__tau_hz_gyr_p16,kopparapu_conservative__tau_hz_gyr_p50,kopparapu_conservative__tau_hz_gyr_p84,kopparapu_conservative__f_chz_p16,kopparapu_conservative__f_chz_p50,kopparapu_conservative__f_chz_p84,kopparapu_moist_greenhouse__p_current_hz,kopparapu_moist_greenhouse__tau_hz_gyr_p16,kopparapu_moist_greenhouse__tau_hz_gyr_p50,kopparapu_moist_greenhouse__tau_hz_gyr_p84,kopparapu_moist_greenhouse__f_chz_p16,kopparapu_moist_greenhouse__f_chz_p50,kopparapu_moist_greenhouse__f_chz_p84,kopparapu_optimistic_empirical__p_current_hz,kopparapu_optimistic_empirical__tau_hz_gyr_p16,kopparapu_optimistic_empirical__tau_hz_gyr_p50,kopparapu_optimistic_empirical__tau_hz_gyr_p84,kopparapu_optimistic_empirical__f_chz_p16,kopparapu_optimistic_empirical__f_chz_p50,kopparapu_optimistic_empirical__f_chz_p84,history_start_gyr,history_steps,luminosity_anchor_max_abs_dex
Kepler-1476 b,Kepler-1476,False,4.57,0.98,0.06,-0.2429,0.0932,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-154 f,Kepler-154,False,4.47,0.98,-0.04,0.03322,0.08832,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1165 b,Kepler-1165,False,3.24,1.13,0.05,0.55152,0.0914,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1587 b,Kepler-1587,False,5.01,1.08,0.07,0.32586,0.08747,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-579 b,Kepler-579,False,4.07,0.99,0.13,-0.31094,0.0854,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1619 b,Kepler-1619,False,4.27,1,-0.07,0.32575,0.15413,MODEL-INFERRED,inferred,,256,197,0.76953125,supported,1,0,robustly_outside_across_prescriptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,72,5.551115123e-17
Kepler-132 e,Kepler-132,False,4.37,1.03,-0.13,0.157,0.43927,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1471 b,Kepler-1471,False,4.57,0.95,-0.03,-0.19895,0.0453,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1554 b,Kepler-1554,False,4.68,0.84,-0.1,-0.39312,0.59527,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-541 b,Kepler-541,False,3.09,1.41,0.07,0.75505,0.06447,MODEL-INFERRED,undetermined,insufficient_mist_main_sequence_support,256,94,0.3671875,supported,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
