pl_name,hostname,pl_letter,is_control,earth2_rank,earth2_index,rankable,score_earth_similarity,score_conservative_habitability,score_observational_confidence,score_characterisation_potential,rank_earth_similarity,rank_conservative_habitability,rank_observational_confidence,rank_characterisation_potential,esi_global,esi_global_p16,esi_global_p50,esi_global_p84,esi_interior,esi_surface,hz_conservative,hz_optimistic,hz_conservative_prob,hz_optimistic_prob,hz_position_conservative,hz_conservative_clamped,hz_optimistic_clamped,hz_model_extrapolated,hz_teff_in_range,hz_teff_valid_fraction,hz_teff_offset_from_range_k,rocky_plausibility,pl_rade,pl_radeerr1,pl_radeerr2,pl_rade_p16,pl_rade_p50,pl_rade_p84,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,mass_class,pl_dens_used,esi_density_source,pl_vesc_kms,insol_used,insol_source,teq_used,teq_source,teq_albedo_assumed,pl_orbper,pl_orbsmax,pl_orbeccen,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,st_teff,st_rad,st_mass,st_lum,st_met,st_age,st_spectype,sy_dist,ra,dec,sy_vmag,sy_jmag,sy_kmag,sy_gaiamag,sy_tmag,gaia_source_id,gaia_parallax_mas,gaia_parallax_error_mas,gaia_ruwe,gaia_non_single_star,gaia_pmra_masyr,gaia_pmdec_masyr,discoverymethod,disc_year,disc_facility,tran_flag,rv_flag,ttv_flag,pl_controv_flag,sy_snum,sy_pnum,n_references,n_param_sets,rade_rel_spread,composite_parameter_source_count,composite_uses_mixed_sources,default_solution_present,default_solution_parameter_coverage,default_solution_overlap_count,composite_default_median_fractional_difference,n_transmission_points,n_emission_points,has_atmosphere_data,transmission_facilities,emission_facilities,st_nrvc,st_nphot,st_nspec,mc_uncertainty_coverage,mc_params_without_uncertainty,tsm,esm,rv_semi_amplitude_ms,ephemeris_uncertainty_2030_minutes,followup_orbital_separation_au,followup_separation_source,max_angular_separation_mas,reflected_light_contrast_ag0p3,reflected_light_geometric_albedo_assumed,tic_id,hd_name,hip_name
rho CrB c,rho CrB,c,False,1477,0.10077382817682712,True,0.34337049646346895,0.0,0.7300000000000001,,1865,480,1939,,0.3430967714875662,0.3387122251882242,0.34337049646346895,0.34810810285736293,0.34475806393150044,0.3414434843461122,0.0,0.0,0.0,0.0,-12.759480342617191,0.0,0.0,False,True,1.0,0.0,1.381632589170632e-09,5.68,,,5.68,5.68,5.68,27.442,0.709,-0.709,msini_lower_limit,0.823,catalogue,24.587169043835463,9.85,catalogue,450.32299571365894,derived_from_insolation_albedo_0.306,0.306,102.036,0.4206,0.048,2455206.1,1.7,-1.9,5817.0,1.3617,1.0,0.23198,-0.2,10.2,G0,17.4671,240.2600639,33.3001861,5.40816,4.088,3.857,5.24167,4.8248,,,,,,,,Radial Velocity,2016.0,Multiple Observatories,0,1,0.0,0.0,1.0,3.0,5.0,5.0,,5.0,True,True,0.4166666666666667,5.0,0.0,0,0,False,,,1.0,1.0,2.0,0.8333333333333334,1,,,3.7595385923195255,,0.4206,catalogue,24.079555278208748,3.165675387148772e-08,0.3,TIC 458494003,HD 143761,HIP 78459
HD 141399 d,HD 141399,d,False,1478,0.10075184485519371,True,0.35420601417092223,3.1893108959323198e-27,0.6983187860256717,,1719,414,2035,,0.35437751234645637,0.33420062619571084,0.35420601417092223,0.37127670505936616,0.27189599297017636,0.46188036787521836,1.0,1.0,0.6005,0.71375,0.9645953929343496,1.0,1.0,False,True,1.0,0.0,5.311092249679133e-27,13.7,,,13.7,13.7,13.7,375.0394,25.4264,-25.4264,msini_lower_limit,0.801,catalogue,58.52655738059033,0.364,catalogue,197.4423961849074,derived_from_insolation_albedo_0.306,0.306,1069.8,2.09,0.074,2454755.6,6.8,-7.0,5600.0,1.387236,1.07,0.2014,0.35,,K0,37.0169,236.7235392,46.986288,7.20856,5.89,5.499,7.00926,6.535,,,,,,,,Radial Velocity,2014.0,Multiple Observatories,0,1,0.0,0.0,1.0,4.0,3.0,3.0,,5.0,True,True,0.5833333333333334,7.0,0.0,0,0,False,,,0.0,1.0,3.0,0.8333333333333334,1,,,22.461261675011844,,2.09,catalogue,56.460697681329336,7.458591244110369e-09,0.3,TIC 156067565,HD 141399,HIP 77301
Kepler-1860 b,Kepler-1860,b,False,1479,0.10073581900210372,True,0.4053576951107948,0.0,0.5777791905617977,0.2737304645332181,1203,480,3810,4091,0.4055155575772304,0.3989411883982901,0.4053576951107948,0.4121175904472257,0.9691086323081713,0.1696846586182096,0.0,0.0,0.0,0.0,-83.00445636846405,0.0,0.0,False,True,1.0,0.0,0.9094396078874403,1.13863767,,,1.13863767,1.13863767,1.13863767,1.55,,,inferred_mass_radius,5.77,catalogue,13.051123227352944,56.3,catalogue,696.2932191756385,derived_from_insolation_albedo_0.306,0.306,12.73719978,0.10625,0.0,2454969.01625,0.00676,-0.00676,5420.0,0.868,0.874,-0.18091,0.0,1.55,,438.703,294.3508497,50.0809627,13.569,12.209,11.808,13.4381,12.9331,,,,,,,,Transit,2021.0,Kepler,1,0,0.0,0.0,1.0,1.0,8.0,8.0,0.30184007865168544,6.0,True,True,0.5,6.0,0.0,0,0,False,,,0.0,0.0,0.0,0.6666666666666667,2,0.6625084068638402,0.12964705441235208,0.46429155862871346,,0.10625,catalogue,0.24219118629232078,1.9935239737211906e-08,0.3,TIC 27082724,,
Kepler-1608 b,Kepler-1608,b,False,1480,0.10073390785860052,True,0.41308251764897097,8.554740737749513e-05,0.5626666666666666,0.49337252817698257,1133,138,4170,3262,0.41796330448690716,0.37415569978917734,0.41308251764897097,0.45976375617951004,0.8248644793175874,0.2117842727839842,0.0,0.0,0.00025,0.00075,-49.91727601069234,0.0,0.0,False,True,1.0,0.0,0.3421896295099805,1.73,0.16,-0.19,1.5408982057231289,1.7307103286789327,1.8884342641128022,3.64,,,inferred_mass_radius,3.86,catalogue,16.225663135445995,33.22,catalogue,610.2600975984215,derived_from_insolation_albedo_0.306,0.306,16.4735686,0.1126,0.0,2454975.68505,0.00747,-0.00747,4992.0,0.72,0.75,-0.537,-0.24,5.13,,832.0,295.563555,39.41757,16.265,14.419,13.836,15.8947,15.3025,,,,,,,,Transit,2016.0,Kepler,1,0,0.0,0.0,1.0,1.0,7.0,7.0,0.09444444444444453,3.0,True,True,0.4166666666666667,5.0,0.0,0,0,False,,,0.0,0.0,0.0,0.5,3,3.0207694781608385,0.13250923942844056,1.1082047274344566,112.25853969518869,0.1126,catalogue,0.13533653846153848,4.0975444185285755e-08,0.3,TIC 184088195,,
HD 108341 b,HD 108341,b,False,1481,0.10073284629363834,True,0.3087226501349176,0.0,0.8458406069871643,,2338,480,1647,,0.30752206101475743,0.30243922465788314,0.3087226501349176,0.31838413929054454,0.3789406141753449,0.24956369012217955,0.0,0.0,0.0,0.0,1.3166635810981213,0.0,0.0,False,True,1.0,0.0,3.924395857947463e-26,13.3,,,13.3,13.3,13.3,715.11391575,225.65816897,-79.45710175,measured,1.67,catalogue,82.02318122273034,0.1066,catalogue,145.24606264598128,derived_from_insolation_albedo_0.306,0.306,1129.0,2.0,0.85,,,,5122.0,0.79,0.843,-0.37001,0.04,4.9,K2 V,48.9102,186.8791724,-71.4224896,9.38,7.863,7.326,9.14337,8.5971,,,,,,,,Radial Velocity,2014.0,La Silla Observatory,0,1,0.0,0.0,2.0,1.0,2.0,2.0,,5.0,True,True,0.6666666666666666,8.0,0.0,0,0,False,,,0.0,1.0,0.0,0.8333333333333334,1,,,93.26460866024367,,2.0,catalogue,40.89126603448769,7.67629286483838e-09,0.3,TIC 286896213,HD 108341,HIP 60788
TOI-2093 b,TOI-2093,b,False,1482,0.10072529900054181,True,0.37494889979985946,0.0,0.6441593930128359,,1474,480,2591,,0.3751957188575746,0.3600749515165824,0.37494889979985946,0.38717373276774886,0.539410865723462,0.2609732884417297,0.0,0.0,0.0,0.0,-29.521496805892067,0.0,0.0,False,True,1.0,0.0,0.00026119031909571986,3.25,,,3.25,3.25,3.25,10.6,2.5,-2.5,msini_lower_limit,1.7,catalogue,20.20161393095573,19.5345,catalogue,534.3990064441776,derived_from_insolation_albedo_0.306,0.306,12.836,0.097,0.0,2459320.53,0.43,-0.5,4426.0,0.729,0.745,-0.73565,-0.08,6.6,K5 V,82.7982,302.7375229,70.8696532,11.925,9.715,8.975,11.3685,10.6699,,,,,,,,Radial Velocity,2025.0,Calar Alto Observatory,0,1,0.0,0.0,1.0,2.0,1.0,1.0,,3.0,True,True,0.75,9.0,0.0,0,0,False,,,0.0,0.0,0.0,0.8333333333333334,1,,,3.522672873894373,,0.097,catalogue,1.1715230524335072,1.9486394849592581e-07,0.3,TIC 402898317,,
Kepler-2000 b,Kepler-2000,b,False,1483,0.10071657987531707,True,0.40980027876050285,0.0,0.5685945978378378,0.7118486906521743,1153,480,3954,1607,0.4064517758703526,0.3910125251268836,0.40980027876050285,0.4341412741730924,0.6123702789311037,0.2697763947599258,0.0,0.0,0.0,0.0,-28.46886618709379,0.0,0.0,False,True,1.0,0.0,0.0034777608364951283,2.73,0.1,-0.17,2.5629152304167935,2.731576561555019,2.827283445335205,7.9,,,inferred_mass_radius,2.13,catalogue,19.02860877192213,18.73,catalogue,528.8098200790557,derived_from_insolation_albedo_0.306,0.306,6.383159135,0.0562,0.0,2455003.604622,0.000744,-0.000744,3757.0,0.576,0.581,-1.05272,0.48,6.0,,320.588,285.5743032,49.9621218,15.642,13.089,12.29,15.2639,14.3009,,,,,,,,Transit,2023.0,Kepler,1,0,0.0,0.0,1.0,2.0,9.0,9.0,0.37837835135135134,5.0,True,True,0.8333333333333334,10.0,0.0,0,0,False,,,0.0,0.0,0.0,0.6666666666666667,2,13.663000113931414,0.9741210200837918,3.911219555116065,10.878301513685674,0.0562,catalogue,0.1753028809562429,4.096009053110223e-07,0.3,TIC 350814495,,
HD 102329 b,HD 102329,b,False,1484,0.10071647326610053,True,0.36221783190592893,0.0,0.6758406069871642,,1617,480,2116,,0.3632509333078856,0.34150603242484157,0.36221783190592893,0.3802205177657123,0.5384512112994825,0.2450570038288198,0.0,0.0,0.0,0.0,-7.915395291566187,0.0,0.0,False,True,1.0,0.0,1.299581425007503e-24,12.6,,,12.6,12.6,12.6,2593.4928,696.0477,-696.0477,msini_lower_limit,7.12,catalogue,160.48412021885946,5.9827,catalogue,397.5478175246304,derived_from_insolation_albedo_0.306,0.306,778.09998,1.81,0.21,,,,4745.0,9.82,3.21,1.29226,0.05,1.6,K0 III,217.107,176.6941567,3.4742143,7.88,6.049,5.402,7.58172,6.9588,,,,,,,,Radial Velocity,2011.0,W. M. Keck Observatory,0,1,0.0,0.0,1.0,2.0,2.0,2.0,,4.0,True,True,0.6666666666666666,8.0,0.0,0,0,False,,,0.0,1.0,1.0,0.8333333333333334,1,,,84.61645605661379,,1.81,catalogue,8.336903001745682,8.411862893214894e-09,0.3,TIC 325254372,HD 102329,HIP 57467
KIC 3526061 b,KIC 3526061,b,False,1485,0.10068980405589775,True,0.37457151026113844,1.5832142861596318e-23,0.6441593930128359,,1481,304,2591,,0.37494410421396496,0.3661394656148676,0.37457151026113844,0.38234025578997494,0.391234857000544,0.35933168726992326,1.0,1.0,1.0,1.0,0.495711902471659,1.0,1.0,False,True,1.0,0.0,1.5832142861596318e-23,12.1,,,12.1,12.1,12.1,5768.58558705,139.84449908,-139.84449908,msini_lower_limit,17.9,catalogue,244.240004954182,0.6208,catalogue,225.63319555574398,derived_from_insolation_albedo_0.306,0.306,3552.0,5.14,0.85,2458708.1,2.0,-1.9,4829.0,5.86,1.42,1.21484,0.12,,,401.229,285.1863974,38.6111112,10.372,8.423,7.776,9.99106,9.3534,,,,,,,,Radial Velocity,2022.0,McDonald Observatory,0,1,0.0,0.0,1.0,1.0,1.0,1.0,,3.0,True,True,0.6666666666666666,8.0,0.0,0,0,False,,,0.0,0.0,0.0,0.8333333333333334,1,,,360.35974368492384,,5.14,catalogue,12.81063931071782,9.619505506073728e-10,0.3,TIC 399793957,,
Kepler-651 b,Kepler-651,b,False,1486,0.10068657956157392,True,0.392626972315805,0.0,0.6029956331877729,0.604081557678078,1310,480,3322,2259,0.39248706365774316,0.37115860536176926,0.392626972315805,0.4071775974478879,0.6754387577512908,0.22806819029979322,0.0,0.0,0.0,0.0,-39.01295672006399,0.0,0.0,False,True,1.0,0.0,0.020882041464608682,2.37,0.22,-0.14,2.2262108601682904,2.3695525189087716,2.5957166625029298,6.21,,,inferred_mass_radius,2.56,catalogue,18.106997518618055,27.223,catalogue,580.6294541294353,derived_from_insolation_albedo_0.306,0.306,21.38521506,0.14078,0.0,2455011.78117,0.00141,-0.00141,5522.0,0.87,0.92,-0.25322,-0.04,3.55,,509.408,287.3327284,46.2034366,14.233,12.719,12.27,13.9621,13.4636,,,,,,,,Transit,2016.0,Kepler,1,0,1.0,0.0,1.0,1.0,10.0,10.0,0.09170305676855893,7.0,True,True,0.5,6.0,0.0,0,0,False,,,0.0,0.0,0.0,0.6666666666666667,2,6.489999644844181,0.26918546027192025,1.5124541292085165,19.660324798944703,0.14078,catalogue,0.27636001005088257,4.9195232249000806e-08,0.3,TIC 158415898,,
K2-252 b,K2-252,b,False,1487,0.10066432185367406,True,0.4094169174009864,0.0,0.5681593930128358,0.6717795172015956,1156,480,3965,1803,0.40900422824195726,0.38962638241861103,0.4094169174009864,0.4238085577487571,0.8226579528411142,0.20334630953492758,0.0,0.0,0.0,0.0,-53.69243569375399,0.0,0.0,False,True,1.0,0.0,0.33506671523163645,1.74,0.17,-0.12,1.617217135783425,1.7370714100047944,1.9072877972972873,3.68,,,inferred_mass_radius,3.84,catalogue,16.267623039532292,36.0315,catalogue,622.7814276057625,derived_from_insolation_albedo_0.306,0.306,13.81513,0.1041,,2457596.1901,0.0118,-0.0111,5152.0,0.82,0.79,-0.40842,-0.09,,,228.839,182.3663818,-8.3096141,12.93,11.236,10.683,12.6201,12.0482,,,,,,,,Transit,2018.0,K2,1,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,True,True,0.7272727272727273,8.0,0.0,0,0,False,,,0.0,0.0,0.0,0.8333333333333334,1,10.359494200224647,0.4498596179275421,1.147625762123429,2356.6932578271617,0.1041,catalogue,0.45490497686146153,4.8495928917330074e-08,0.3,TIC 152868838,,
HD 178911 B b,HD 178911 B,b,False,1488,0.10066056052039647,True,0.34226895784315076,0.0,0.7300000000000001,,1878,480,1939,,0.3440210199695655,0.3214826222563742,0.34226895784315076,0.3583616423703421,0.5409762369085679,0.21877201641465627,0.0,0.0,0.0,0.0,-10.086425510462414,0.0,0.0,False,True,1.0,0.0,1.299581425007503e-24,12.6,,,12.6,12.6,12.6,2552.1749,797.7533,-797.7533,msini_lower_limit,7.01,catalogue,159.20062156735375,7.8319,catalogue,425.2377881547998,derived_from_insolation_albedo_0.306,0.306,71.484,0.34,0.11,2450292.68,0.16,-0.16,5588.0,1.08,1.24,-0.04317,0.24,,G5,40.9727,287.2632091,34.6006972,7.97,6.749,6.375,7.86705,7.3982,,,,,,,,Radial Velocity,2001.0,W. M. Keck Observatory,0,1,0.0,0.0,3.0,1.0,5.0,5.0,,4.0,True,True,0.6666666666666666,8.0,0.0,0,0,False,,,4.0,1.0,2.0,0.8333333333333334,1,,,341.3855519895416,,0.34,catalogue,8.298208319197904,2.3839190332578997e-07,0.3,TIC 42812945,HD 178911 B,HIP 94075
Kepler-293 c,Kepler-293,c,False,1489,0.10064926719445987,True,0.4174492799301352,0.0,0.5525826771653544,0.5299055907375857,1097,480,4572,2955,0.43749310029377836,0.32399591656051385,0.4174492799301352,0.5203089527990894,0.4751385922592344,0.402830281359748,0.0,0.0,0.0,0.0,-9.05976443896242,0.0,0.0,False,True,1.0,0.0,1.2124603645016703e-05,3.83,1.63,-1.63,2.2423476311424952,3.8640523372137334,5.459925118281561,14.0,,,inferred_mass_radius,1.37,catalogue,21.386486692648475,7.287,catalogue,417.6401658025417,derived_from_insolation_albedo_0.306,0.306,54.155743,0.286,0.0,2455005.36515,0.00521,-0.00521,5804.0,0.957,0.934,-0.23265,0.1,1.32,,974.633,286.3580611,42.4064917,15.452,14.098,13.661,15.3334,14.8204,,,,,,,,Transit,2014.0,Kepler,1,0,0.0,0.0,1.0,2.0,12.0,12.0,0.17847769028871383,7.0,True,True,0.5,6.0,0.0,0,0,False,,,0.0,0.0,0.0,0.5,3,3.8879150955119397,0.09472616625086223,2.4764438459852465,92.90693150755976,0.286,catalogue,0.2934437885850366,3.112961335697676e-08,0.3,TIC 158216544,,
K2-199 b,K2-199,b,False,1490,0.10064565465933469,True,0.2948942078216227,0.0,0.8987675360427808,0.7379392486590207,2546,480,1356,1479,0.29654378973183043,0.2789848541183103,0.2948942078216227,0.30963553964197915,0.8480705433179607,0.10369210429650078,0.0,0.0,0.0,0.0,-182.39967011380762,0.0,0.0,False,True,1.0,0.0,0.34232064316743444,1.73,0.05,-0.04,1.6907616075690435,1.730593932390872,1.781361884148157,6.9,1.8,-1.8,measured,7.2,catalogue,22.339647126962983,116.2,catalogue,834.5773598587538,derived_from_insolation_albedo_0.306,0.306,3.2253993,0.0382,0.02,2457218.73733,0.00051,-0.00055,4491.0,0.682,0.711,-0.73283,-0.01,5.04,,107.518,208.9014508,-6.1360833,12.358,10.277,9.625,11.9053,11.2309,,,,,,,,Transit,2018.0,K2,1,1,0.0,0.0,1.0,2.0,8.0,8.0,0.8436038663101605,2.0,True,True,1.0,12.0,0.0,0,0,False,,,0.0,0.0,0.0,1.0,0,16.361297666520002,2.5617261488878498,3.74955336307367,5.716062440280371,0.0382,catalogue,0.3552893469000539,3.5601945034307846e-07,0.3,TIC 2621212,,
K2-212 b,K2-212,b,False,1491,0.1006115262071056,True,0.3960280762606848,0.0,0.593983773926499,0.8288206334862579,1276,480,3509,1133,0.39618705916928454,0.37725916044133384,0.3960280762606848,0.4130362017837542,0.6260279763277412,0.2507303056549529,0.0,0.0,0.0,0.0,-33.44207383264616,0.0,0.0,False,True,1.0,0.0,0.005126959026690876,2.65,0.2,-0.18,2.4745908679221778,2.653620486181869,2.862582346185038,7.51,,,inferred_mass_radius,2.22,catalogue,18.830933362572882,21.964,catalogue,550.2916536835273,derived_from_insolation_albedo_0.306,0.306,9.795647,0.0785,,2457399.64109,0.00039,-0.00039,4349.0,0.678,0.622,-0.90958,0.03,,,109.218,18.4241015,3.0970732,12.977,10.629,9.856,12.55,11.7603,,,,,,,,Transit,2018.0,K2,1,0,0.0,0.0,1.0,1.0,6.0,6.0,0.16680188394584147,6.0,True,True,0.5454545454545454,6.0,0.0,0,0,False,,,0.0,0.0,0.0,0.6666666666666667,2,30.652217635852107,1.9141996382414028,3.0802387462561014,15.765046145241692,0.0785,catalogue,0.718745994250032,1.978156645191966e-07,0.3,TIC 388811663,,
TOI-561 c,TOI-561,c,False,1492,0.10058058639588859,True,0.27493039695151855,0.0,0.9888827253793104,0.9934083828872838,2824,480,71,404,0.2709451920066556,0.26862059728788096,0.27493039695151855,0.2809437100606711,0.49499013513872614,0.14830860629363696,0.0,0.0,0.0,0.0,-100.44740767740383,0.0,0.0,False,True,1.0,0.0,0.0017976283198972377,2.865,0.041,-0.041,2.8231786547801625,2.863897567388535,2.9042357104685497,5.93,0.67,-0.67,measured,1.3,catalogue,16.093105135663045,67.5,catalogue,728.6030926539366,derived_from_insolation_albedo_0.306,0.306,10.778838,0.0889,0.023,2459238.46284,0.00079,-0.00079,5342.0,0.843,0.806,-0.28233,-0.41,16.1,G9 V,85.799,148.1851516,6.216103,10.252,8.879,8.394,10.0128,9.5273,,,,,,,,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),1,1,0.0,0.0,1.0,4.0,8.0,8.0,0.0926439551724138,4.0,True,True,0.9166666666666666,11.0,0.0,0,0,False,,,0.0,0.0,0.0,1.0,0,95.54878054081817,4.77773548942626,1.9826319221232367,7.935721762864421,0.0889,catalogue,1.0361426123847597,1.8028266759254366e-07,0.3,TIC 377064495,,
Kepler-197 e,Kepler-197,e,False,1493,0.10057495371542179,True,0.40032518982751114,0.0,0.5842265372168285,0.313160064690647,1248,480,3712,3958,0.4019379107689233,0.39406862784472546,0.40032518982751114,0.40509155177016587,0.9629186113952061,0.1677754300326646,0.0,0.0,0.0,0.0,-80.90751917459293,0.0,0.0,False,True,1.0,0.0,0.9690566063273212,0.91,0.04,-0.04,0.8709883709602189,0.9111672994579676,0.9513932555983822,0.693,,,inferred_mass_radius,5.05,catalogue,9.761593897278487,57.941,catalogue,701.3124741776106,derived_from_insolation_albedo_0.306,0.306,25.209715,0.164,0.38,2454987.41342,0.00934,-0.00934,6004.0,1.12,0.857,0.22187,-0.441,5.37,,330.575,295.2264739,50.5592348,11.775,10.814,10.535,11.78,11.4036,,,,,,,,Transit,2014.0,Kepler,1,0,0.0,0.0,2.0,4.0,14.0,14.0,0.24811218985976277,9.0,True,True,0.5,6.0,0.0,0,0,False,,,0.0,0.0,0.0,0.6666666666666667,2,0.8699217595225756,0.08069714725610318,0.18109794573320742,166.61317667601685,0.164,catalogue,0.49610527111850566,5.3444538773652635e-09,0.3,TIC 27397848,,
HD 159243 c,HD 159243,c,False,1494,0.10057218714504991,True,0.41041313751102837,0.0,0.5641593930128359,,1151,480,4075,,0.4100588127087304,0.4064224175859269,0.41041313751102837,0.41400726709670166,0.3491117476497902,0.4816458655776051,0.0,0.0,0.0,0.0,-1.3338193942678056,0.0,0.0,False,True,1.0,0.0,2.3802664086944004e-26,13.4,,,13.4,13.4,13.4,603.9,41.32,-41.32,msini_lower_limit,1.38,catalogue,75.09394679402912,2.0315,catalogue,303.47245205767524,derived_from_insolation_albedo_0.306,0.306,248.4,0.8,0.075,,,,6123.0,1.12,1.125,0.114,0.05,1.25,G0 V,73.3055,263.3395365,5.7008254,8.65,7.581,7.297,8.51188,8.1282,,,,,,,,Radial Velocity,2013.0,Haute-Provence Observatory,0,1,0.0,0.0,1.0,2.0,1.0,1.0,,3.0,True,True,0.6666666666666666,8.0,0.0,0,0,False,,,0.0,1.0,0.0,0.5,3,,,56.89370295842946,,0.8,catalogue,10.91323297706175,4.8700998742522866e-08,0.3,TIC 348652846,HD 159243,HIP 85911
TOI-1246 d,TOI-1246,d,False,1495,0.10055318159453279,True,0.2948518532485367,0.0,0.8956490301282358,0.9517040575808622,2547,480,1394,558,0.2947067524338998,0.26917108361994035,0.2948518532485367,0.3137201589371968,0.36634104447788335,0.23707982285719373,0.0,0.0,0.0,0.0,-41.20904837667874,0.0,0.0,False,True,1.0,0.0,0.00010476345394154328,3.43139739,0.14960553,-0.11612674,3.3158383627580013,3.432740159976958,3.580750856376137,5.4,1.9,-1.9,measured,0.73,catalogue,14.032536696131235,28.0,catalogue,584.7289212113618,derived_from_insolation_albedo_0.306,0.306,18.654874,0.132,0.0,2458688.975,0.002,-0.002,5213.0,0.8649,0.8889,-0.30103,0.168,6.3,K V,169.422,251.1158702,70.4299917,11.632,10.294,9.907,11.7291,11.1802,,,,,,,,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),1,1,1.0,0.0,1.0,4.0,3.0,3.0,0.2722479658119659,4.0,True,True,0.9166666666666666,11.0,0.0,0,0,False,,,0.0,0.0,0.0,0.8333333333333334,1,71.63284048397908,1.8530267242585043,1.4083653774657956,16.411477271714453,0.132,catalogue,0.7791195948578107,1.1730118938311007e-07,0.3,TIC 230127302,,
HD 34445 b,HD 34445,b,False,1496,0.1005525622302815,True,0.3460581140202974,1.926487865738417e-27,0.7157542162385498,,1830,426,1988,,0.3463790404261235,0.336073567291923,0.3460581140202974,0.3557226548079105,0.22292649282488125,0.5381973139494486,1.0,1.0,0.986,0.998,0.8379959853409732,1.0,1.0,False,True,1.0,0.0,1.953841648821924e-27,13.9,,,13.9,13.9,13.9,260.6206,28.6047,-28.6047,msini_lower_limit,0.533,catalogue,48.436391964938124,0.4691,catalogue,210.36884637418737,derived_from_insolation_albedo_0.306,0.306,1049.0,2.07,0.27,2454809.0,11.0,-12.0,5879.0,1.38,1.14,0.3032,0.18,8.5,G0 V,46.0907,79.4207483,7.3527156,7.31,6.122,5.79,7.14947,6.7209,,,,,,,,Radial Velocity,2009.0,W. M. Keck Observatory,0,1,0.0,0.0,1.0,6.0,4.0,4.0,,4.0,True,True,0.6666666666666666,8.0,0.0,0,0,False,,,0.0,1.0,3.0,0.8333333333333334,1,,,15.603111967821196,,2.07,catalogue,44.91144634383943,7.827032813139514e-09,0.3,TIC 284907742,HD 34445,HIP 24681
HD 134606 f,HD 134606,f,False,1497,0.10055056493820622,True,0.3730934754618228,0.0,0.6441593930128359,,1494,480,2591,,0.37297358745174225,0.36449650918687615,0.3730934754618228,0.38163800690062644,0.7009474250356403,0.19845895992777104,0.0,0.0,0.0,0.0,-52.53180455922405,0.0,0.0,False,True,1.0,0.0,0.039165722796764335,2.24,,,2.24,2.24,2.24,5.63,0.72,-0.69,msini_lower_limit,2.75,catalogue,17.733930546412996,36.479,catalogue,624.7061741819997,derived_from_insolation_albedo_0.306,0.306,26.915,0.1784,0.081,,,,5576.0,1.158,1.046,0.06483,0.343,7.3,G5IV,26.7909,228.8103897,-70.5203328,6.86,5.591,5.177,6.67835,6.2133,,,,,,,,Radial Velocity,2024.0,Multiple Observatories,0,1,0.0,0.0,1.0,5.0,1.0,1.0,,3.0,True,True,0.6666666666666666,8.0,0.0,0,0,False,,,0.0,1.0,0.0,0.8333333333333334,1,,,1.1696971570572285,,0.1784,catalogue,6.658977488624869,2.736620535098886e-08,0.3,TIC 262457542,HD 134606,HIP 74653
TOI-125 c,TOI-125,c,False,1498,0.10054623272856458,True,0.27676803238853065,0.0,0.9783650172534104,0.9250788252146643,2800,480,199,679,0.27642699126601417,0.26709033880977023,0.27676803238853065,0.2865612061131727,0.5626200208828683,0.13581436611600645,0.0,0.0,0.0,0.0,-115.88527816339459,0.0,0.0,False,True,1.0,0.0,0.003083347528197878,2.759,0.1,-0.1,2.655021158129635,2.7557302603117315,2.8543290915383235,6.63,0.99,-0.99,measured,1.73,catalogue,17.340264949045064,77.59,catalogue,754.4257531326374,derived_from_insolation_albedo_0.306,0.306,9.15059,0.0814,0.066,2458361.9085,0.0013,-0.0013,5320.0,0.848,0.859,-0.28483,-0.02,6.8,K0 V,111.059,23.5934253,-66.6763495,11.023,9.466,8.995,10.718,10.1985,,,,,,,,Transit,2019.0,Transiting Exoplanet Survey Satellite (TESS),1,1,0.0,0.0,1.0,3.0,4.0,4.0,0.06157665820949623,2.0,True,True,1.0,12.0,0.0,0,0,False,,,0.0,0.0,0.0,1.0,0,59.59865730376087,3.631222889138932,2.248032273365013,533.7248829599009,0.0814,catalogue,0.7329437506190404,1.9941730194802418e-07,0.3,TIC 52368076,,
HD 145377 b,HD 145377,b,False,1499,0.10053940234648344,True,0.3604013156343348,0.0,0.6758406069871642,,1644,480,2116,,0.36062353051864976,0.3517562515489544,0.3604013156343348,0.37018789126752405,0.561727248173445,0.2315168637209852,0.0,0.0,0.0,0.0,-9.429890884375192,0.0,0.0,False,True,1.0,0.0,4.780892883885469e-25,12.8,,,12.8,12.8,12.8,1913.3366,152.5584,-152.5584,msini_lower_limit,5.01,catalogue,136.7620240829547,7.7037,catalogue,423.4868288840173,derived_from_insolation_albedo_0.306,0.306,103.95,0.45,0.31,,,,6014.0,1.05,1.2,0.19312,0.11,1.3,G3 V,53.4884,242.9019658,-27.0781199,9.236,7.014,6.706,7.96999,7.5678,,,,,,,,Radial Velocity,2008.0,La Silla Observatory,0,1,0.0,0.0,1.0,1.0,2.0,2.0,,4.0,True,True,0.6666666666666666,8.0,0.0,0,0,False,,,1.0,1.0,0.0,0.8333333333333334,1,,,241.60831517158738,,0.45,catalogue,8.413039088849171,1.40443989168144e-07,0.3,TIC 68165288,HD 145377,HIP 79346
