label,pl_name,earth2_rank,action_id,parameter,parameter_value,unit,prior_sigma,observation_sigma,expected_posterior_sigma,expected_information_gain_nats,expected_information_gain_bits,status,noise_rule,observation_model,cost_or_time,within_target_information_rank
SIMULATED,TOI-700 d,10,mass_precision_requirement,planet mass or minimum mass,1.25,Earth masses,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,
SIMULATED,TOI-700 d,10,radius_precision_requirement,planet radius,1.073,Earth radii,0.0565,0.02146,0.02006163443,1.035431382,1.49381172,synthetic_linear_gaussian,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,2
SIMULATED,TOI-700 d,10,stellar_radius_precision_requirement,stellar radius,0.421,Solar radii,0.016,0.005,0.00477239989,1.209739422,1.745285065,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,1
SIMULATED,TOI-700 d,10,stellar_age_precision_requirement,stellar age,1.5,Gyr,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,
SIMULATED,TOI-700 d,10,eccentricity_precision_requirement,orbital eccentricity,0.042,dimensionless,0.0375,0.03,0.02342606428,0.4704916722,0.6787760023,synthetic_linear_gaussian,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,3
SIMULATED,TOI-700 d,10,inclination_precision_requirement,orbital inclination,89.8,degrees,0.11,0.5,0.1074308913,0.02363259623,0.03409462939,synthetic_linear_gaussian,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,4
SIMULATED,Kepler-442 b,11,mass_precision_requirement,planet mass or minimum mass,2.36,Earth masses,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,
SIMULATED,Kepler-442 b,11,radius_precision_requirement,planet radius,1.34,Earth radii,0.145,0.0268,0.02635364349,1.705127204,2.459978562,synthetic_linear_gaussian,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,2
SIMULATED,Kepler-442 b,11,stellar_radius_precision_requirement,stellar radius,0.598,Solar radii,0.0235,0.00598,0.005795308273,1.399951749,2.019703446,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,3
SIMULATED,Kepler-442 b,11,stellar_age_precision_requirement,stellar age,2.9,Gyr,4.15,0.58,0.5744172025,1.977507647,2.852940476,synthetic_linear_gaussian,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,1
SIMULATED,Kepler-442 b,11,eccentricity_precision_requirement,orbital eccentricity,0.04,dimensionless,0.06,0.03,0.02683281573,0.8047189562,1.160964047,synthetic_linear_gaussian,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,4
SIMULATED,Kepler-442 b,11,inclination_precision_requirement,orbital inclination,89.94,degrees,0.09,0.5,0.08857649916,0.01594309443,0.02300102327,synthetic_linear_gaussian,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,5
SIMULATED,Kepler-186 f,12,mass_precision_requirement,planet mass or minimum mass,1.71,Earth masses,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,
SIMULATED,Kepler-186 f,12,radius_precision_requirement,planet radius,1.17,Earth radii,0.08,0.0234,0.02245896257,1.270336877,1.832708712,synthetic_linear_gaussian,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,2
SIMULATED,Kepler-186 f,12,stellar_radius_precision_requirement,stellar radius,0.523,Solar radii,0.022,0.00523,0.00508819806,1.464118701,2.112276789,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,1
SIMULATED,Kepler-186 f,12,stellar_age_precision_requirement,stellar age,4,Gyr,0.6,0.8,0.48,0.2231435513,0.3219280949,synthetic_linear_gaussian,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,4
SIMULATED,Kepler-186 f,12,eccentricity_precision_requirement,orbital eccentricity,0.04,dimensionless,0.055,0.03,0.02633686719,0.7363634334,1.062347874,synthetic_linear_gaussian,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,3
SIMULATED,Kepler-186 f,12,inclination_precision_requirement,orbital inclination,89.96,degrees,0.07,0.5,0.06932392227,0.00970519676,0.01400163924,synthetic_linear_gaussian,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,5
SIMULATED,GJ 667 C e,13,mass_precision_requirement,planet mass or minimum mass,2.7,Earth masses,1.5,0.27,0.2657294975,1.730741523,2.496932212,synthetic_linear_gaussian,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,1
SIMULATED,GJ 667 C e,13,radius_precision_requirement,planet radius,1.45,Earth radii,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,
SIMULATED,GJ 667 C e,13,stellar_radius_precision_requirement,stellar radius,,Solar radii,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,
SIMULATED,GJ 667 C e,13,stellar_age_precision_requirement,stellar age,2,Gyr,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,
SIMULATED,GJ 667 C e,13,eccentricity_precision_requirement,orbital eccentricity,0.02,dimensionless,0.12,0.03,0.029104275,1.416606672,2.043731421,synthetic_linear_gaussian,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,2
SIMULATED,GJ 667 C e,13,inclination_precision_requirement,orbital inclination,,degrees,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,
SIMULATED,TOI-715 b,14,mass_precision_requirement,planet mass or minimum mass,3.02,Earth masses,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,
SIMULATED,TOI-715 b,14,radius_precision_requirement,planet radius,1.55,Earth radii,0.064,0.031,0.02789942104,0.8302771461,1.197836721,synthetic_linear_gaussian,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,3
SIMULATED,TOI-715 b,14,stellar_radius_precision_requirement,stellar radius,0.24,Solar radii,0.012,0.005,0.004615384615,0.955511445,1.378511623,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,1
SIMULATED,TOI-715 b,14,stellar_age_precision_requirement,stellar age,6.2,Gyr,2.7,1.24,1.126844856,0.8738302089,1.260670509,synthetic_linear_gaussian,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,2
SIMULATED,TOI-715 b,14,eccentricity_precision_requirement,orbital eccentricity,,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,TOI-715 b,14,inclination_precision_requirement,orbital inclination,89.856,degrees,0.0175,0.5,0.01748929109,0.0006121251498,0.0008831099181,synthetic_linear_gaussian,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,4
SIMULATED,LHS 1140 b,15,mass_precision_requirement,planet mass or minimum mass,5.6,Earth masses,0.19,0.56,0.1799259531,0.0544786778,0.07859611829,synthetic_linear_gaussian,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,3
SIMULATED,LHS 1140 b,15,radius_precision_requirement,planet radius,1.73,Earth radii,0.025,0.0346,0.02026389158,0.2100352627,0.3030168319,synthetic_linear_gaussian,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,1
SIMULATED,LHS 1140 b,15,stellar_radius_precision_requirement,stellar radius,0.2159,Solar radii,0.003,0.005,0.002572478777,0.1537423499,0.2218033257,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,2
SIMULATED,LHS 1140 b,15,stellar_age_precision_requirement,stellar age,5,Gyr,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,
SIMULATED,LHS 1140 b,15,eccentricity_precision_requirement,orbital eccentricity,0.043,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,LHS 1140 b,15,inclination_precision_requirement,orbital inclination,89.86,degrees,0.04,0.5,0.03987261114,0.003189803482,0.004601913665,synthetic_linear_gaussian,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,4
SIMULATED,Gl 725 B c,16,mass_precision_requirement,planet mass or minimum mass,3.4,Earth masses,0.7,0.34,0.3058327739,0.8280418729,1.194611904,synthetic_linear_gaussian,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,1
SIMULATED,Gl 725 B c,16,radius_precision_requirement,planet radius,1.66,Earth radii,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,
SIMULATED,Gl 725 B c,16,stellar_radius_precision_requirement,stellar radius,0.28,Solar radii,0.005,0.005,0.003535533906,0.3465735903,0.5,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,3
SIMULATED,Gl 725 B c,16,stellar_age_precision_requirement,stellar age,8.7,Gyr,2.1,1.74,1.339837516,0.4493889949,0.6483312743,synthetic_linear_gaussian,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,2
SIMULATED,Gl 725 B c,16,eccentricity_precision_requirement,orbital eccentricity,,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,Gl 725 B c,16,inclination_precision_requirement,orbital inclination,,degrees,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,
SIMULATED,Kepler-62 f,17,mass_precision_requirement,planet mass or minimum mass,35,Earth masses,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,
SIMULATED,Kepler-62 f,17,radius_precision_requirement,planet radius,1.41,Earth radii,0.07,0.0282,0.02615719278,0.9843710307,1.420147204,synthetic_linear_gaussian,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,3
SIMULATED,Kepler-62 f,17,stellar_radius_precision_requirement,stellar radius,0.64,Solar radii,0.02,0.0064,0.006095514542,1.188179094,1.714180086,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,1
SIMULATED,Kepler-62 f,17,stellar_age_precision_requirement,stellar age,7,Gyr,4,1.4,1.321401699,1.107601295,1.597930895,synthetic_linear_gaussian,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,2
SIMULATED,Kepler-62 f,17,eccentricity_precision_requirement,orbital eccentricity,0,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,Kepler-62 f,17,inclination_precision_requirement,orbital inclination,89.9,degrees,0.03,0.5,0.02994614536,0.001796767755,0.00259218793,synthetic_linear_gaussian,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,4
SIMULATED,Kepler-1652 b,18,mass_precision_requirement,planet mass or minimum mass,3.19,Earth masses,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,
SIMULATED,Kepler-1652 b,18,radius_precision_requirement,planet radius,1.6,Earth radii,0.18,0.032,0.03150600025,1.742778839,2.514298389,synthetic_linear_gaussian,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,2
SIMULATED,Kepler-1652 b,18,stellar_radius_precision_requirement,stellar radius,0.382,Solar radii,0.038,0.005,0.004957271478,2.036730676,2.938381245,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,1
