label,pl_name,hostname,earth2_rank,planet_radius_earth,planet_mass_earth_used,planet_mass_basis,stellar_mass_solar,stellar_age_gyr,semimajor_axis_au,bolometric_insolation_earth,bolometric_flux_w_m2,xuv_history_status,muscles_current_xuv_flux_w_m2,generic_current_xuv_flux_min_w_m2,generic_current_xuv_flux_median_w_m2,generic_current_xuv_flux_max_w_m2,generic_xuv_dose_min_j_m2,generic_xuv_dose_median_j_m2,generic_xuv_dose_max_j_m2,escape_status,current_mass_loss_min_kg_s,current_mass_loss_median_kg_s,current_mass_loss_max_kg_s,integrated_lost_min_earth_masses,integrated_lost_median_earth_masses,integrated_lost_max_earth_masses
SCENARIO,Kepler-442 b,Kepler-442,11,1.34,2.36,mass_radius_prediction_scenario,0.609,2.9,0.409,0.66,898.128,bounded_age_activity_scenarios,,0.0002834943292,0.01427541356,0.2787293793,6.283545497e+14,9.193733564e+15,8.252968793e+16,energy_limited_scenario_ensemble,29.85211031,5464.024,298822.6781,1.107907288e-05,0.000589228584,0.01481525061
SCENARIO,Kepler-186 f,Kepler-186,12,1.17,1.71,mass_radius_prediction_scenario,0.544,4,0.432,0.3,408.24,bounded_age_activity_scenarios,,0.005412548857,0.07419621756,0.91854,4.39233988e+15,2.804694832e+16,1.489160275e+17,energy_limited_scenario_ensemble,522.7884831,26045.44056,902858.0161,7.103757279e-05,0.001648555413,0.0245092951
SCENARIO,GJ 667 C e,GJ 667 C,13,1.45,2.7,minimum_mass_scenario,0.33,2,0.213,0.3022,411.23376,bounded_age_activity_scenarios,0.02721253076,0.015421266,0.1753161262,1.23370128,3.854365062e+15,2.116281888e+16,7.747597651e+16,energy_limited_scenario_ensemble,1813.577581,75007.20772,1480967.421,7.589915655e-05,0.001516081824,0.01557293754
SCENARIO,TOI-715 b,TOI-715,14,1.55,3.02,mass_radius_prediction_scenario,0.225,6.2,0.083,0.67,911.736,bounded_age_activity_scenarios,,0.006264087713,0.09665566768,1.323487742,1.04102092e+16,7.135918998e+16,4.460684762e+17,energy_limited_scenario_ensemble,828.705784,46663.14739,1803964.751,0.0002306056748,0.005768522728,0.1018070024
SCENARIO,LHS 1140 b,LHS 1140,15,1.73,5.6,measured_mass,0.1844,5,0.0946,0.43,585.144,bounded_age_activity_scenarios,,0.005551163398,0.08082201073,1.0532592,6.502478985e+15,4.312066433e+16,2.505347068e+17,energy_limited_scenario_ensemble,543.379623,28830.12288,1057753.205,0.0001065776863,0.002575551742,0.04212937145
SCENARIO,Gl 725 B c,Gl 725 B,16,1.66,3.4,minimum_mass_scenario,0.25,8.7,0.139,0.4742,645.29136,bounded_age_activity_scenarios,,0.002667185568,0.04509694988,0.6675427862,7.638245604e+15,5.486732989e+16,3.778000707e+17,energy_limited_scenario_ensemble,377.7486906,23261.5407,968245.5123,0.000181138742,0.00473885179,0.09175641014
SCENARIO,Kepler-62 f,Kepler-62,17,1.41,,upper_limit_not_used,0.69,7,0.718,0.5,680.4,bounded_age_activity_scenarios,,5.726910311e-05,0.00365842129,0.08748,4.90034627e+14,7.754463525e+15,7.955205656e+16,undetermined_missing_age_environment_or_usable_mass,,,,,,
SCENARIO,Kepler-1652 b,Kepler-1652,18,1.6,3.19,mass_radius_prediction_scenario,0.404,3.2,0.1654,0.81,1102.248,bounded_age_activity_scenarios,,0.02042352086,0.2635996602,3.1000725,1.142380021e+16,6.993681755e+16,3.322159117e+17,energy_limited_scenario_ensemble,2757.962841,129628.7045,4286041.646,0.0002583071274,0.005758776106,0.07690825524
SCENARIO,GJ 3378 b,GJ 3378,19,1.32,2.3,minimum_mass_scenario,0.262,,0.09673,0.91,1238.328,undetermined_missing_age_mass_or_bolometric_flux,,,,,,,,undetermined_missing_age_environment_or_usable_mass,,,,,,
SCENARIO,Kepler-1544 b,Kepler-1544,20,1.78,3.82,mass_radius_prediction_scenario,0.81,2.34,0.54465,0.833,1133.5464,bounded_age_activity_scenarios,,0.0004936494446,0.02345869222,0.4359793846,7.856392373e+14,1.124093214e+16,9.725456592e+16,energy_limited_scenario_ensemble,75.20707061,12989.66705,676065.3993,2.004154411e-05,0.001042232332,0.02525228887
SCENARIO,GJ 251 c,GJ 251,21,1.8,3.88,minimum_mass_scenario,0.35,6.8,0.196,0.404,549.7632,bounded_age_activity_scenarios,,0.003288429669,0.05202231843,0.7276277647,6.343869936e+15,4.407058262e+16,2.833978941e+17,energy_limited_scenario_ensemble,517.3128218,29787.58364,1170156.66,0.0001671040396,0.004225346773,0.07631314615
SCENARIO,Kepler-296 f,Kepler-296,22,1.8,3.89,mass_radius_prediction_scenario,0.498,4.2,0.255,0.62,843.696,bounded_age_activity_scenarios,,0.01039652772,0.1444073715,1.80792,9.145642758e+15,5.890269552e+16,3.194513735e+17,energy_limited_scenario_ensemble,1625.325616,82140.72295,2886074.624,0.0002394055924,0.005610122198,0.08538883735
SCENARIO,Kepler-452 b,Kepler-452,23,1.63,3.29,mass_radius_prediction_scenario,1.037,6,1.046,1.1,1496.88,bounded_age_activity_scenarios,,0.0001587680998,0.009728837462,0.224532,1.073616057e+15,1.678088574e+16,1.684606286e+17,energy_limited_scenario_ensemble,21.44303156,4772.948165,308126.0114,2.427951065e-05,0.001378505946,0.03870940784
SCENARIO,Kepler-438 b,Kepler-438,24,1.12,1.46,mass_radius_prediction_scenario,0.544,4.4,0.166,1.4,1905.12,bounded_age_activity_scenarios,,0.02189372117,0.3079466927,3.896836364,2.079435237e+16,1.350060435e+17,7.465183785e+17,energy_limited_scenario_ensemble,2215.649886,113489.2658,4037549.897,0.0003523667693,0.008331063519,0.1295132587
SCENARIO,GJ 667 C c,GJ 667 C,25,1.77,3.8,minimum_mass_scenario,0.33,2,0.125,0.8774,1193.96592,bounded_age_activity_scenarios,0.07900818825,0.044773722,0.5090085015,3.58189776,1.119066812e+16,6.144360452e+16,2.249418325e+17,energy_limited_scenario_ensemble,6935.97734,287428.6078,5697694.963,0.0002902742267,0.005809645516,0.05991343667
SCENARIO,K2-288 B b,K2-288 B,26,1.9,4.27,mass_radius_prediction_scenario,0.33,1,0.164,0.4368,594.39744,bounded_age_activity_scenarios,,0.06304536908,0.59439744,1.78319232,4.405624378e+15,1.857017909e+16,5.571053726e+16,energy_limited_scenario_ensemble,10656.0142,301397.596,3086279.643,0.0001246858181,0.001576692273,0.01614516283
SCENARIO,TRAPPIST-1 e,TRAPPIST-1,27,0.92,0.692,measured_mass,0.0898,7.6,0.02925,0.646,879.0768,bounded_age_activity_scenarios,1.517834039,0.004450232401,0.07254810954,1.041012,1.026601116e+16,7.242959967e+16,4.809241856e+17,energy_limited_scenario_ensemble,567.9905719,33994.53769,1394313.594,0.000219395725,0.005682862099,0.1078572486
SCENARIO,TRAPPIST-1 f,TRAPPIST-1,28,1.045,1.039,measured_mass,0.0898,7.6,0.03849,0.373,507.5784,bounded_age_activity_scenarios,0.8763964343,0.002569561433,0.04188923353,0.6010796842,5.927588486e+15,4.1820806e+16,2.77685327e+17,energy_limited_scenario_ensemble,311.458939,18584.91103,757574.7034,0.0001203061514,0.00310683697,0.05860225669
SCENARIO,GJ 682 b,GJ 682,29,1.93,4.4,minimum_mass_scenario,0.27,,0.08,0.3125,425.25,undetermined_missing_age_mass_or_bolometric_flux,,,,,,,,undetermined_missing_age_environment_or_usable_mass,,,,,,
