kepid,kepoi_name,TCE_ID,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_score,fpp_prob,astrophysical_planet_probability,astrophysical_planet_probability_label,observed_tce_disposition,observed_tce_mes,published_comparison_box,robovetter_score_is_candidate_reliability,false_alarm_reliability,total_candidate_reliability,reliability_status
5193439,K06538.01,005193439-01,CANDIDATE,CANDIDATE,129.847318,0.005348,-0.005348,1.45,0.48,-0.16,11.1,0.285,0.0023,0.9977,MODEL-INFERRED,PC,7.6745,False,False,,,pending_validated_smooth_false_alarm_model
5888187,K07749.01,005888187-01,CANDIDATE,CANDIDATE,133.6348207,0.0009309,-0.0009309,1.89,0.12,-0.19,10.8,0.656,0.99,0.01,MODEL-INFERRED,PC,8.2497,False,False,,,pending_validated_smooth_false_alarm_model
5977470,K04550.01,005977470-01,CONFIRMED,CANDIDATE,140.251943,0.001677,-0.001677,1.84,0.05,-0.12,11.9,0.934,0.0022,0.9978,MODEL-INFERRED,PC,9.6396,False,False,,,pending_validated_smooth_false_alarm_model
9391817,K05663.01,009391817-01,CANDIDATE,CANDIDATE,140.884533,0.002615,-0.002615,1.52,0.26,-0.2,16.4,0.965,0.0012,0.9988,MODEL-INFERRED,PC,11.9549,False,False,,,pending_validated_smooth_false_alarm_model
9514372,K04242.01,009514372-01,CANDIDATE,CANDIDATE,145.786556,0.002417,-0.002417,1.82,0.24,-0.15,13.9,0.996,0.094,0.906,MODEL-INFERRED,PC,12.0519,False,False,,,pending_validated_smooth_false_alarm_model
6716545,K02906.02,006716545-03,CANDIDATE,CANDIDATE,145.881936,0.005153,-0.005153,1.8,0.33,-0.3,11.2,0.804,0.00094,0.99906,MODEL-INFERRED,PC,7.6291,False,False,,,pending_validated_smooth_false_alarm_model
9521317,K07940.01,009521317-01,CANDIDATE,CANDIDATE,188.881049,0.001156,-0.001156,1.86,0.41,-0.19,12.9,0.896,0.88,0.12,MODEL-INFERRED,PC,8.6582,False,False,,,pending_validated_smooth_false_alarm_model
6697817,K03508.01,006697817-01,CANDIDATE,CANDIDATE,190.800788,0.002576,-0.002576,1.67,0.27,-0.07,13,0.975,0.008,0.992,MODEL-INFERRED,PC,10.5599,False,False,,,pending_validated_smooth_false_alarm_model
9205938,K02162.02,009205938-02,CONFIRMED,CANDIDATE,199.66876,0.003961,-0.003961,1.45,0.18,-0.18,13.9,0.92,0.0012,0.9988,MODEL-INFERRED,PC,11.0906,False,False,,,pending_validated_smooth_false_alarm_model
6368905,K05276.01,006368905-01,CANDIDATE,CANDIDATE,220.720142,0.00618,-0.00618,2,0.28,-0.16,12,0.193,0.025,0.975,MODEL-INFERRED,PC,9.6669,False,False,,,pending_validated_smooth_false_alarm_model
10331279,K08000.01,010331279-01,CANDIDATE,CANDIDATE,225.48805,0.01866,-0.01866,1.7,0.43,-0.14,11.6,0.975,0.93,0.07,MODEL-INFERRED,PC,8.7165,False,False,,,pending_validated_smooth_false_alarm_model
8692861,K00172.02,008692861-02,CONFIRMED,CANDIDATE,242.467406,0.0026,-0.0026,1.73,0.21,-0.22,23.2,0.693,0.0086,0.9914,MODEL-INFERRED,PC,18.012,False,False,,,pending_validated_smooth_false_alarm_model
8873873,K08174.01,008873873-01,CANDIDATE,CANDIDATE,295.06066,0.02829,-0.02829,0.64,0.07,-0.07,10.4,0.665,0.018,0.982,MODEL-INFERRED,PC,7.3721,False,False,,,pending_validated_smooth_false_alarm_model
11294822,K08047.01,011294822-01,CANDIDATE,CANDIDATE,302.34971,0.01009,-0.01009,1.98,0.11,-0.13,8,0.513,0.14,0.86,MODEL-INFERRED,PC,7.6661,False,False,,,pending_validated_smooth_false_alarm_model
4940203,K07711.01,004940203-01,CANDIDATE,CANDIDATE,302.779824,0.009594,-0.009594,1.31,0.34,-0.12,12.3,0.987,0.0097,0.9903,MODEL-INFERRED,PC,8.4757,True,False,,,pending_validated_smooth_false_alarm_model
