period_days,planet_radius_earth,target_stars,mean_transit_geometry,mean_phase_window,mean_pipeline_including_window,mean_vetting_given_recovered,mean_pipeline_and_vetting,mean_total_selection,effective_stars,fraction_impact_target_evaluations_below_mes_training,fraction_impact_target_evaluations_above_mes_training,label
50,0.648419777326,114105,0.016575148365,0.980213829473,0.0066100464965,0.151061527349,0.00564750031182,8.96645705382e-05,10.2311758213,3.66944645324e-05,0,MODEL-INFERRED
56.1009227151,0.648419777326,114105,0.0153505553224,0.977072046797,0.00594683999706,0.148731373104,0.00509956324449,7.46854659063e-05,8.52198508723,3.87917813481e-05,0,MODEL-INFERRED
62.9462705897,0.648419777326,114105,0.0142164367712,0.971480327749,0.00529028887685,0.144862913148,0.00454748023873,6.14241140539e-05,7.00879853413,3.87917813481e-05,0,MODEL-INFERRED
70.6268772311,0.648419777326,114105,0.0131661083411,0.964097511939,0.00464911564488,0.13946597976,0.00400058952582,4.98321571178e-05,5.68609828792,3.87917813481e-05,0,MODEL-INFERRED
79.2446596231,0.648419777326,114105,0.0121933795112,0.955269097857,0.00403267741759,0.132683815421,0.00346894849713,3.98464777477e-05,4.5466823434,4.19063716604e-05,0,MODEL-INFERRED
88.9139705019,0.648419777326,114105,0.0112925171245,0.946455578881,0.00345409114515,0.124831501162,0.00296646971552,3.14218765746e-05,3.58539322655,4.19063716604e-05,0,MODEL-INFERRED
99.7631157484,0.648419777326,114105,0.0104582115968,0.941663514956,0.00292297222601,0.116087210043,0.00250321839036,2.44490833905e-05,2.78976266028,4.43992023378e-05,0,MODEL-INFERRED
111.936056928,0.648419777326,114105,0.00968554562249,0.937980127602,0.00244428295838,0.106698759447,0.00208475389448,1.87730558769e-05,2.14209954083,4.43992023378e-05,0,MODEL-INFERRED
125.594321575,0.648419777326,114105,0.00896996519314,0.935844124974,0.00202074487957,0.096041801935,0.00171106215206,1.42024913093e-05,1.62057527084,4.75347159242e-05,0,MODEL-INFERRED
140.919146563,0.648419777326,114105,0.00830725275603,0.933272582355,0.00165295190053,0.0855223319208,0.00138803683924,1.06172810331e-05,1.21148485228,5.42012569588e-05,0,MODEL-INFERRED
158.113883008,0.648419777326,114105,0.00769350235666,0.93004485155,0.00133838537609,0.0752200449118,0.00111305328458,7.84364420877e-06,0.894999022441,5.94131640867e-05,0,MODEL-INFERRED
177.406694617,0.648419777326,114105,0.0071250966174,0.926004353283,0.00107270851951,0.0652905519015,0.00088210329251,5.72472706193e-06,0.653219981402,6.15104809024e-05,0,MODEL-INFERRED
199.053585277,0.648419777326,114105,0.0065986854171,0.919767369993,0.000851072227413,0.0558881938714,0.000690768982843,4.12737026014e-06,0.470953583534,6.25486776731e-05,0,MODEL-INFERRED
223.341796075,0.648419777326,114105,0.00611116614581,0.909806396412,0.000668473222088,0.0471619040264,0.000534418285675,2.93916112851e-06,0.335372980569,6.77815080752e-05,0,MODEL-INFERRED
250.593616814,0.648419777326,114105,0.00565966541834,0.895237874828,0.000519785847928,0.0392404440143,0.000408323447325,2.06654524809e-06,0.235803145533,6.77815080752e-05,0,MODEL-INFERRED
281.170662595,0.648419777326,114105,0.00524152213887,0.872007338015,0.000399607440972,0.0321650548588,0.000307437805727,1.43150685461e-06,0.163342089645,7.23507322941e-05,0,MODEL-INFERRED
315.47867224,0.648419777326,114105,0.00485427181671,0.831351860655,0.000303069714364,0.0259323429354,0.000227244200631,9.73191449435e-07,0.111046010338,8.00763933736e-05,0,MODEL-INFERRED
353.972892192,0.648419777326,114105,0.00449563204088,0.781185292645,0.00022594647441,0.0206106990202,0.000164135653632,6.4633122272e-07,0.0737496241684,8.73856173172e-05,0,MODEL-INFERRED
397.164117362,0.648419777326,114105,0.00416348902784,0.689755418902,0.000164855559184,0.0160961322466,0.000114975735436,4.16169750768e-07,0.0474870494114,9.05211309036e-05,0,MODEL-INFERRED
445.625469067,0.648419777326,114105,0.00385588516304,0.586629428192,0.000117232748152,0.0123799502145,7.76528112239e-05,2.58231909133e-07,0.0294655519916,9.92640654797e-05,0,MODEL-INFERRED
500,0.648419777326,114105,0.003571007463,0.467805678071,8.09301425815e-05,0.00936681323939,5.02100116867e-05,1.532690347e-07,0.0174887632045,0.000106968803285,0,MODEL-INFERRED
50,0.707106781187,114105,0.016575148365,0.980213829473,0.011757918905,0.197634588054,0.0101207726683,0.000161892469468,18.4727402286,3.46180709909e-05,1.92085953802e-05,MODEL-INFERRED
56.1009227151,0.707106781187,114105,0.0153505553224,0.977072046797,0.0106485743882,0.19487068488,0.0091993444689,0.000135778692304,15.4930276854,3.56562677617e-05,8.34742071436e-06,MODEL-INFERRED
62.9462705897,0.707106781187,114105,0.0142164367712,0.971480327749,0.00953749883593,0.19023858523,0.00825933994602,0.000112469153167,12.8332927222,3.56562677617e-05,1.03819677076e-06,MODEL-INFERRED
70.6268772311,0.707106781187,114105,0.0131661083411,0.964097511939,0.00844158006663,0.183732926816,0.00731835238921,9.19400102467e-05,10.4908148692,3.56562677617e-05,0,MODEL-INFERRED
