draw,estimand,unsupported_reliability_scenario,integrated_rate,alpha,beta,imputed_valid_candidate_count,shape_weighted_effective_stars,label,gamma_earth_per_dlnp_dlnr,full_model_projected_hsu_box_rate,full_model_projected_bryson_earth_box_rate
1720,full_fixed_box,lower,1.91796268869,0.45,-2.1,51,29.061264211,MODEL-INFERRED,0.601657844319,0.293541725003,0.105566525323
1721,full_fixed_box,lower,0.801606985934,0.3,-0.9,55,70.2817020288,MODEL-INFERRED,0.296868141838,0.14575908264,0.0497123112256
1722,full_fixed_box,lower,1.88791273618,0.45,-2.25,53,27.2196374245,MODEL-INFERRED,0.56576169156,0.27706785683,0.100012955846
1723,full_fixed_box,lower,0.204332731585,-0.15,0.3,44,155.431488504,MODEL-INFERRED,0.0557752927271,0.0297075370921,0.00914858279086
1724,full_fixed_box,lower,0.940963221567,0.45,-0.9,60,61.927003607,MODEL-INFERRED,0.385532731916,0.188107749546,0.0644119588881
1725,full_fixed_box,lower,0.561457017333,0.45,-0.45,61,80.744542403,MODEL-INFERRED,0.241322497838,0.119451656428,0.0397840789759
1726,full_fixed_box,lower,0.689996603405,0.45,-0.9,53,61.986095388,MODEL-INFERRED,0.282706347524,0.137937068406,0.0472324867038
1727,full_fixed_box,lower,0.753860056859,0,-1.05,53,77.0587802836,MODEL-INFERRED,0.216537807378,0.10767257658,0.0366457198872
1728,full_fixed_box,lower,0.892447510598,0.6,-1.05,53,51.6179669592,MODEL-INFERRED,0.39173496154,0.189561321795,0.0656498413665
1729,full_fixed_box,lower,2.21539167653,0.45,-2.4,53,24.5923116145,MODEL-INFERRED,0.632735971131,0.311282960049,0.112724887117
1730,full_fixed_box,lower,0.498086797668,0.3,0.3,58,124.738562779,MODEL-INFERRED,0.195251312525,0.1014192002,0.0317480994544
1731,full_fixed_box,lower,0.337423991104,-0.75,-0.15,53,170.009214943,MODEL-INFERRED,0.0498794550417,0.0271094401789,0.00838582272651
1732,full_fixed_box,lower,2.77280061159,0.15,-2.7,56,25.2806940097,MODEL-INFERRED,0.578204423667,0.291677175426,0.10522873028
1733,full_fixed_box,lower,0.488196607947,0.45,0.15,57,106.789250007,MODEL-INFERRED,0.212869471316,0.108765202994,0.0346234963305
1734,full_fixed_box,lower,0.848148954707,0,-1.05,56,72.4522002454,MODEL-INFERRED,0.243621230905,0.121139702848,0.0412291760706
1735,full_fixed_box,lower,1.24976015543,0.45,-1.35,52,49.0192200404,MODEL-INFERRED,0.473697348796,0.229640504421,0.0804260079184
1736,full_fixed_box,lower,0.72584307309,0.6,-0.45,59,72.2435873336,MODEL-INFERRED,0.341915451575,0.168359541475,0.0562559885712
1737,full_fixed_box,lower,0.96035426314,0.15,-1.35,49,57.3841380981,MODEL-INFERRED,0.294523731463,0.144735040851,0.0502504367678
1738,full_fixed_box,lower,0.509878384283,0.45,-0.45,49,77.4134654856,MODEL-INFERRED,0.21915324146,0.108478148281,0.0361292873403
1739,full_fixed_box,lower,0.668885662389,-0.9,-1.5,43,83.83768772,MODEL-INFERRED,0.0697123277692,0.0371119112855,0.0122905481609
1740,full_fixed_box,lower,0.359767144363,0,-0.15,53,119.565120136,MODEL-INFERRED,0.11250405278,0.0577311887476,0.0185554603818
1741,full_fixed_box,lower,1.61978617645,0.15,-2.25,55,32.4786585682,MODEL-INFERRED,0.392756928847,0.194976521983,0.0697702966259
1742,full_fixed_box,lower,0.75264812269,0.3,-1.05,61,61.8996800911,MODEL-INFERRED,0.272471093145,0.133376644547,0.0458583426017
1743,full_fixed_box,lower,0.687077003868,0.3,-0.45,57,88.0472570887,MODEL-INFERRED,0.266931732233,0.132960049953,0.0441069279958
1744,full_fixed_box,lower,0.584285165401,0.15,-0.6,54,84.6739056775,MODEL-INFERRED,0.200674471654,0.100120302807,0.0333830078917
1745,full_fixed_box,lower,0.482675355626,0.15,0.3,58,133.218521018,MODEL-INFERRED,0.169373362221,0.0886238440748,0.0276119932188
1746,full_fixed_box,lower,0.761291268037,0.6,-0.45,52,73.8375341741,MODEL-INFERRED,0.358613669182,0.176581762047,0.0590033775368
1747,full_fixed_box,lower,0.937313022765,0.6,-1.05,60,52.92146715,MODEL-INFERRED,0.411428433116,0.199091031597,0.0689502189479
1748,full_fixed_box,lower,0.593193144603,0.3,-0.6,57,80.0519451826,MODEL-INFERRED,0.227594802267,0.11272314838,0.0377630268434
1749,full_fixed_box,lower,0.512769372562,0.15,-0.3,60,99.7056073038,MODEL-INFERRED,0.179933513619,0.0908807241388,0.0296950007117
1750,full_fixed_box,lower,0.527167027374,-0.15,-0.6,50,105.785663989,MODEL-INFERRED,0.14084111053,0.0715284446876,0.0235733927953
1751,full_fixed_box,lower,2.13450917999,1.05,-2.1,51,19.4728278162,MODEL-INFERRED,0.916606603538,0.440643030208,0.159850382546
1752,full_fixed_box,lower,0.29892602173,-0.15,0.6,52,173.745132968,MODEL-INFERRED,0.0798628720701,0.0435297105141,0.0130436854209
1753,full_fixed_box,lower,0.970731567879,0.9,-0.75,61,50.8343670505,MODEL-INFERRED,0.519745980359,0.251392433291,0.0859899354072
1754,full_fixed_box,lower,0.820550654586,0.45,-0.9,49,62.022943783,MODEL-INFERRED,0.336197131076,0.164036099908,0.0561693314016
1755,full_fixed_box,lower,1.38807555471,0.9,-1.5,49,32.5812540453,MODEL-INFERRED,0.652960936128,0.312446056682,0.11096677852
1756,full_fixed_box,lower,1.30373846286,0.6,-1.35,53,43.6513458465,MODEL-INFERRED,0.541576050886,0.261175016832,0.0917684816482
1757,full_fixed_box,lower,0.759802355816,0.45,-0.6,54,73.1292091671,MODEL-INFERRED,0.322517554475,0.158736766154,0.0533903424404
1758,full_fixed_box,lower,1.88401740338,0.75,-1.8,59,30.3636478624,MODEL-INFERRED,0.765061781749,0.367887096743,0.131880209122
1759,full_fixed_box,lower,0.347653910784,-0.3,0.15,55,158.735666106,MODEL-INFERRED,0.0829100362313,0.0441721896406,0.0136829072883
1760,full_fixed_box,lower,1.48330608581,0.15,-2.1,56,36.8783665356,MODEL-INFERRED,0.376491134075,0.186200510809,0.0663827723498
1761,full_fixed_box,lower,0.461229180452,0.3,-0.15,53,105.205801634,MODEL-INFERRED,0.181781169773,0.0918288633875,0.0298167880467
1762,full_fixed_box,lower,1.13459085155,0.75,-0.9,56,53.3291985272,MODEL-INFERRED,0.553331421264,0.267441823619,0.0921088014405
1763,full_fixed_box,lower,1.35197141677,0.6,-1.5,54,40.5552846815,MODEL-INFERRED,0.543821886973,0.262150038632,0.0927011640746
1764,full_fixed_box,lower,0.56888916468,0,-0.9,51,79.0327718688,MODEL-INFERRED,0.167164599981,0.0833735633066,0.0281472698289
1765,full_fixed_box,lower,0.332538729492,-0.3,0.15,51,157.550589196,MODEL-INFERRED,0.0793053012071,0.0422516858472,0.0130880063887
1766,full_fixed_box,lower,2.439740551,1.05,-1.65,60,27.7373175346,MODEL-INFERRED,1.18346946495,0.565329073619,0.202174751991
1767,full_fixed_box,lower,0.539264080427,0.45,-0.3,53,83.0045219542,MODEL-INFERRED,0.233871300763,0.116528134405,0.0384082236599
1768,full_fixed_box,lower,1.05175927089,0.45,-0.9,56,62.1500659873,MODEL-INFERRED,0.430928240053,0.210256963266,0.071996304812
1769,full_fixed_box,lower,0.356303739039,-0.15,-0.3,58,121.605972548,MODEL-INFERRED,0.0972577677129,0.050003836944,0.016149344227
1770,full_fixed_box,lower,0.491820264954,0.15,0,56,117.736001408,MODEL-INFERRED,0.173828817348,0.0892015058422,0.0284948271607
1771,full_fixed_box,lower,0.491156455492,0.6,0.15,56,96.9674526847,MODEL-INFERRED,0.234710854084,0.119298342338,0.0381003750269
1772,full_fixed_box,lower,0.538710230847,0.3,0.3,56,121.040799401,MODEL-INFERRED,0.211175803366,0.109690843057,0.0343374409161
1773,full_fixed_box,lower,0.544676982532,0.15,-0.6,51,88.1592880362,MODEL-INFERRED,0.187070923864,0.0933332346124,0.0311200028394
1774,full_fixed_box,lower,0.447288690921,0,-0.9,49,85.455448174,MODEL-INFERRED,0.131433044846,0.0655524033575,0.0221307703792
1775,full_fixed_box,lower,0.738806601166,0.15,-0.45,53,90.2447202609,MODEL-INFERRED,0.256936977394,0.128921939726,0.0425659269915
1776,full_fixed_box,lower,0.508485656792,0.15,0.15,63,130.797634218,MODEL-INFERRED,0.179395637142,0.0929168174089,0.0293219875733
1777,full_fixed_box,lower,0.878384119662,0.45,-0.75,63,68.5791899433,MODEL-INFERRED,0.366941512746,0.179737486046,0.0610151271746
1778,full_fixed_box,lower,0.744474611889,0.3,-1.35,49,53.4161569849,MODEL-INFERRED,0.255057245703,0.124426190255,0.0434038579195
1779,full_fixed_box,lower,0.515543135553,0,-0.75,52,87.2606929688,MODEL-INFERRED,0.154456227986,0.0773367395145,0.02588408457
