kepid,kepoi_name,TCE_ID,koi_disposition,koi_pdisposition,koi_period,koi_prad,observed_tce_mes,koi_score,fpp_prob,astrophysical_planet_probability,false_alarm_reliability_p025,false_alarm_reliability_p50,false_alarm_reliability_p975,total_candidate_reliability_p025,total_candidate_reliability_p50,total_candidate_reliability_p975,published_comparison_box,robovetter_score_is_candidate_reliability,reliability_status,false_alarm_reliability_label,total_candidate_reliability_label
4844470,K03469.01,004844470-01,CANDIDATE,CANDIDATE,60.532988,1.91,12.7107,0.955,0.0082,0.9918,0.9691533128,0.9943239654,0.998996819,0.9612062557,0.9861705089,0.990805045,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
3223433,K04548.01,003223433-01,CANDIDATE,CANDIDATE,61.083322,1.61,10.0898,1,0.019,0.981,0.9010867594,0.9707934491,0.9919805958,0.883966111,0.9523483735,0.9731329644,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
4141593,K07685.01,004141593-01,CANDIDATE,CANDIDATE,64.740274,1.35,8.6662,0.651,0.00054,0.99946,0.7702799048,0.909641953,0.9692379902,0.7698639536,0.9091507463,0.9687146017,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
11922778,K03408.01,011922778-01,CANDIDATE,CANDIDATE,65.427645,1.65,13.706,0.864,0.0067,0.9933,0.9758210166,0.9957466511,0.9992859363,0.9692830158,0.9890751485,0.9925907206,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
3646449,K04999.01,003646449-01,CANDIDATE,CANDIDATE,65.752109,2,9.0277,0.979,0.016,0.984,0.8138893452,0.9274635577,0.9747052435,0.8008671157,0.9126241408,0.9591099596,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
11444514,K04371.01,011444514-01,CONFIRMED,CANDIDATE,66.373298,1.99,9.9445,0.997,0.0013,0.9987,0.8891088246,0.9607778752,0.9871900349,0.8879529832,0.959528864,0.9859066878,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
9413156,K04700.02,009413156-02,CANDIDATE,CANDIDATE,66.47762,1.83,7.324,0.573,0.0035,0.9965,0.5046549458,0.7631033952,0.9163890014,0.5028886535,0.7604325333,0.9131816399,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
3548044,K02194.02,003548044-02,CONFIRMED,CANDIDATE,67.968656,1.71,20.3878,0.979,0.0024,0.9976,0.9786523002,0.9989651147,0.9999509204,0.9763035346,0.9965675984,0.9975510382,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
8962094,K00700.04,008962094-04,CONFIRMED,CANDIDATE,68.1609897,1.45,17.7233,0.976,0.046,0.954,0.9859391002,0.998735266,0.9998912423,0.9405859016,0.9527934438,0.9538962452,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
10453588,K02484.01,010453588-01,CONFIRMED,CANDIDATE,68.8861017,1.47,14.9629,0.939,0.00013,0.99987,0.9812778729,0.9971340981,0.9995846673,0.9811503068,0.9970044706,0.9994547213,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
9955598,K01925.01,009955598-01,CONFIRMED,CANDIDATE,68.958447,1.11,27.2692,0.999,0.0076,0.9924,0.3147141461,0.9901392369,0.9999589488,0.3123223186,0.9826141787,0.9923592608,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
1865864,K04926.01,001865864-01,CANDIDATE,CANDIDATE,69.089357,1.47,7.6351,0.523,0.61,0.39,0.5736038845,0.7932081323,0.921433572,0.223705515,0.3093511716,0.3593590931,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
11669125,K01535.01,011669125-01,CONFIRMED,CANDIDATE,70.6981724,1.63,31.9327,0.956,3.5e-05,0.999965,,,,,,,False,False,outside_calibration_domain_or_missing_fpp,MODEL-INFERRED,MODEL-INFERRED
